setup,target,stage,mse,r2
A,Q4 2025,A1 raw static linear,468.6803277003622,0.46471395120776515
A,Q4 2025,A2 + engineered (no TE),407.48026520101257,0.5346113582567305
A,Q4 2025,A3 + K-fold target encoding,407.29305118557363,0.5348251778789335
A,Q4 2025,XGBoost (tuned),321.1695526379418,0.6331879734157644
A,Q4 2025,SLSQP blend,317.84168813732555,0.6369887718153713
C,Feb-Apr 2026,A1 raw static linear,426.4765340921674,0.3901247611439559
C,Feb-Apr 2026,A2 + engineered (no TE),380.792383074154,0.45545457483078644
C,Feb-Apr 2026,A3 + K-fold target encoding,380.7352767710584,0.455536238691413
C,Feb-Apr 2026,XGBoost (tuned),302.77190616065315,0.5670263805212737
C,Feb-Apr 2026,SLSQP blend,299.72451685371215,0.5713842458031566
