setup,target,model,dev_mse,dev_mae,dev_r2,test_mse,test_mae,test_r2
A,Q4 2025,LinearRegression,407.2930512587998,13.100176813585838,0.5348251777953008,415.06276471955886,13.326517345173935,0.514152472830445
A,Q4 2025,RandomForest,332.59738679355263,11.065763146983622,0.6201360917175833,335.3955454011424,11.20828229224249,0.6074061317764103
A,Q4 2025,XGBoost,321.1695526379418,10.812172836360585,0.6331879734157644,327.03706244463945,10.997593959222112,0.6171900695816954
A,Q4 2025,LightGBM,321.996803152588,10.798602061105708,0.6322431595774729,327.1279890097894,10.9480252065581,0.617083636409204
A,Q4 2025,CatBoost,325.1169092995832,10.915854203241093,0.6286796447625195,328.2217271341649,11.05092594345078,0.6158033722943107
A,Q4 2025,Blend (SLSQP),317.84168813732555,10.784361186485269,0.6369887718153713,323.029310316604,10.953630012198754,0.6218813033574598
B,Q1 2026,LinearRegression,359.99706736164046,12.328869213565916,0.42862805867157927,360.86962594752447,12.12311166885341,0.4185144657183756
B,Q1 2026,RandomForest,307.07153358260746,10.443592687074831,0.5126292012441958,301.8179487626729,10.183680362148996,0.513667101432451
B,Q1 2026,XGBoost,294.05166383979525,10.15185364653878,0.5332937813901242,289.9907087914379,9.91579014925321,0.5327248676151628
B,Q1 2026,LightGBM,296.49428978258777,10.204672360037717,0.5294169500117438,292.3448763234319,9.951591818750016,0.5289314910971594
B,Q1 2026,CatBoost,299.0342779433083,10.306182395684685,0.5253855894871198,293.46105050304203,10.037141414297825,0.5271329492069192
B,Q1 2026,Blend (SLSQP),292.0637231239522,10.149270495915266,0.5364489558319094,288.13495155678015,9.91351495037436,0.535715133100263
C,Feb-Apr 2026,LinearRegression,380.9186452910991,12.891721066649849,0.45527401577639015,370.1045402963438,12.607912277747735,0.46148469373530177
C,Feb-Apr 2026,RandomForest,310.55471717699874,10.635105908699398,0.5558967090197242,305.17971829759006,10.381052960360112,0.5559526253495557
C,Feb-Apr 2026,XGBoost,302.77190616065315,10.452472608232378,0.5670263805212737,301.96750589297625,10.32279568896575,0.5606265089649061
C,Feb-Apr 2026,LightGBM,306.277933396278,10.496540251399336,0.5620126481659541,303.562946575361,10.362498725382418,0.5583050858691136
C,Feb-Apr 2026,CatBoost,306.09742008613847,10.5382375282627,0.5622707880384616,305.78197300954207,10.339071142398263,0.5550763232636735
C,Feb-Apr 2026,Blend (SLSQP),299.72451685371215,10.437494729502054,0.5713842458031566,297.2615492433054,10.25926265247234,0.5674738437326361
