listing_id,y_clean,y_orig
2539,0,0
2595,0,0
6848,68,68
6872,20,0
6990,90,65
7064,0,0
7097,0,0
60611,16,0
60666,25,0
60673,0,0
60680,1,1
60794,0,0
61406,2,2
62925,29,3
63610,14,14
63657,0,0
7801,46,29
8490,16,14
9357,22,6
10452,60,60
11943,0,0
12192,48,0
64015,0,0
64314,0,0
64365,64,64
65615,0,0
65660,61,60
66008,62,62
66251,13,13
66974,48,34
67299,58,0
68253,0,0
68735,59,59
68974,0,0
71384,0,0
72190,0,0
12937,22,22
12940,53,53
14314,90,90
15385,90,90
15396,1,1
16338,90,90
74680,76,76
74860,0,0
75635,74,74
75658,2,2
77765,0,0
79067,0,0
80684,0,0
80700,0,0
81739,0,0
82638,30,30
82928,8,8
83243,73,73
16821,38,0
16974,3,3
17037,8,8
18152,17,17
83474,0,0
84010,0,0
89427,21,21
93313,29,29
94783,28,26
96471,3,3
98663,75,75
100002,21,21
18728,8,8
18961,0,0
100186,39,39
101053,0,0
103311,0,0
103555,0,0
105469,0,0
106363,44,31
106647,58,57
106906,14,12
107630,1,1
112304,0,0
112435,0,0
113265,3,3
19174,47,47
19812,90,90
20913,0,0
21456,0,0
21644,0,0
21794,1,1
115535,71,71
115748,6,0
116551,28,28
118061,84,84
125163,0,0
128975,54,0
136493,2,0
139624,45,0
140133,1,0
141335,0,0
23135,0,0
23545,21,21
24285,90,90
25406,53,0
25696,54,54
26785,0,0
142069,0,0
144087,0,0
144148,0,0
146726,20,20
148201,0,0
148825,19,19
150804,13,13
150989,0,0
151199,36,35
152263,4,4
152819,0,0
27883,0,0
28907,0,0
29013,74,74
29628,44,44
31130,0,0
31555,0,0
31902,0,0
31994,17,16
157673,76,76
158061,0,0
162493,21,21
162508,38,38
166006,50,50
166172,0,0
166983,0,0
169483,0,0
170420,0,0
170761,40,40
171562,30,0
173151,46,0
174966,0,0
32037,2,2
33009,62,62
34760,0,0
177495,0,0
177606,1,1
179670,19,0
182069,31,31
187986,0,0
188674,0,0
188803,0,0
189135,3,0
189181,0,0
189787,0,0
190968,0,0
190974,3,3
191610,62,62
195123,0,0
195240,6,0
195989,0,0
198744,5,0
199733,20,20
201514,0,0
201992,0,0
202273,0,0
203901,0,0
204065,0,0
205485,6,6
206316,0,0
206957,9,0
208148,0,0
208889,90,90
212544,0,0
213330,20,20
214917,0,0
36647,30,0
38663,11,11
38833,30,30
39282,53,0
39593,90,90
39704,0,0
42300,86,86
