listing_id,occ_10,days_10,occ_11,days_11,occ_12,days_12,y_occupied_q4,days_observed
2595,30,30,0,29,0,27,30,86
6848,27,30,27,29,26,28,80,87
6872,7,30,7,29,6,27,20,86
6990,30,30,24,29,27,27,81,86
7064,30,30,29,29,26,26,85,85
7097,30,30,29,29,26,26,85,85
7801,30,30,29,29,23,27,82,86
8490,28,30,22,29,25,26,75,85
9357,30,30,29,29,10,27,69,86
10452,30,30,29,29,28,28,87,87
11943,30,30,29,29,26,26,85,85
12192,30,30,29,29,25,27,84,86
12937,23,30,18,29,25,28,66,87
12940,30,30,21,29,23,27,74,86
14314,30,30,15,29,1,27,46,86
15341,30,30,28,29,0,27,58,86
15396,30,30,29,29,22,26,81,85
16338,30,30,29,29,26,28,85,87
16580,30,30,23,29,24,28,77,87
16821,27,30,21,29,21,27,69,86
16974,30,30,29,29,0,26,59,85
17037,30,30,29,29,6,27,65,86
18152,0,30,13,29,27,27,40,86
18728,0,30,18,29,0,27,18,86
18961,30,30,29,29,26,26,85,85
19174,30,30,29,29,11,27,70,86
19812,30,30,28,29,27,27,85,86
20913,30,30,29,29,26,26,85,85
21456,30,30,29,29,16,28,75,87
21644,30,30,29,29,26,26,85,85
21794,1,30,1,29,1,27,3,86
23135,0,30,0,29,0,26,0,85
23545,7,30,7,29,7,28,21,87
24285,4,30,12,29,28,28,44,87
25406,30,30,29,29,26,26,85,85
26785,30,30,29,29,28,28,87,87
27883,30,30,29,29,27,27,86,86
28907,30,30,29,29,26,26,85,85
29013,30,30,29,29,19,27,78,86
29628,25,30,20,29,23,28,68,87
31130,30,30,0,29,21,27,51,86
31555,30,30,29,29,26,26,85,85
31902,30,30,29,29,26,26,85,85
31994,29,30,21,29,23,28,73,87
32037,1,30,1,29,0,26,2,85
33009,30,30,22,29,26,27,78,86
36647,30,30,29,29,0,28,59,87
38663,1,30,0,29,0,28,1,87
38833,17,30,9,29,22,28,48,87
39282,30,30,27,29,25,28,82,87
39593,30,30,29,29,27,27,86,86
39704,30,30,29,29,26,26,85,85
42300,30,30,29,29,16,27,75,86
42729,1,30,1,29,1,28,3,87
44229,0,30,0,29,0,28,0,87
45542,30,30,29,29,26,26,85,85
45910,0,30,0,29,0,28,0,87
45935,6,30,7,29,7,28,20,87
45936,30,30,29,29,16,28,75,87
46544,30,30,29,29,20,26,79,85
46911,30,30,26,29,20,28,76,87
49048,30,30,29,29,27,27,86,86
51438,30,30,29,29,26,26,85,85
52689,28,30,17,29,20,28,65,87
53469,0,30,0,29,0,28,0,87
53470,0,30,0,29,0,28,0,87
53477,0,30,0,29,0,28,0,87
54466,0,30,0,29,0,28,0,87
54508,24,30,26,29,28,28,78,87
54544,30,30,29,29,26,26,85,85
54694,30,30,29,29,26,26,85,85
54860,6,30,24,29,0,27,30,86
55959,29,30,13,29,21,28,63,87
55982,30,30,29,29,26,26,85,85
56859,23,30,25,29,23,27,71,86
57166,30,30,29,29,28,28,87,87
57297,0,30,0,29,0,26,0,85
57618,30,30,29,29,26,26,85,85
57874,28,30,21,29,24,28,73,87
58059,25,30,28,29,28,28,81,87
59014,30,30,29,29,7,27,66,86
59121,0,30,0,29,0,28,0,87
60181,30,30,29,29,26,26,85,85
60457,30,30,29,29,26,26,85,85
60611,0,30,0,29,0,27,0,86
60666,30,30,29,29,27,27,86,86
60673,30,30,29,29,26,26,85,85
60680,1,30,1,29,1,27,3,86
60794,30,30,29,29,26,26,85,85
61406,5,30,18,29,1,28,24,87
62925,30,30,29,29,14,28,73,87
63610,6,30,6,29,7,28,19,87
63657,30,30,29,29,26,26,85,85
64015,30,30,29,29,26,26,85,85
64314,30,30,29,29,28,28,87,87
64365,30,30,29,29,28,28,87,87
65615,30,30,29,29,26,26,85,85
65660,29,30,29,29,27,27,85,86
66008,16,30,1,29,28,28,45,87
66251,20,30,14,29,0,27,34,86
66974,23,30,23,29,28,28,74,87
67299,28,30,19,29,26,26,73,85
68253,30,30,29,29,26,26,85,85
68735,30,30,29,29,26,27,85,86
68974,30,30,24,29,15,27,69,86
71384,30,30,29,29,26,26,85,85
72190,30,30,29,29,26,26,85,85
74680,0,30,11,29,0,28,11,87
74860,30,30,29,29,26,26,85,85
75635,30,30,28,29,18,27,76,86
75658,1,30,1,29,1,28,3,87
77765,2,30,6,29,22,22,30,81
79067,30,30,29,29,28,28,87,87
80684,3,30,1,29,22,22,26,81
80700,0,30,1,29,27,27,28,86
81739,0,30,1,29,27,27,28,86
82638,30,30,29,29,3,27,62,86
82928,17,30,16,29,14,28,47,87
83243,30,30,16,29,10,27,56,86
83474,20,30,10,29,0,28,30,87
84010,2,30,1,29,22,22,25,81
89427,7,30,7,29,6,27,20,86
92242,1,30,1,29,0,0,2,59
93313,27,30,21,29,25,26,73,85
94783,24,30,10,29,26,28,60,87
96471,1,30,1,29,1,28,3,87
98663,30,30,29,29,27,27,86,86
100002,7,30,7,29,7,28,21,87
100186,30,30,29,29,28,28,87,87
100368,30,30,29,29,26,26,85,85
101053,30,30,29,29,26,26,85,85
103311,30,30,29,29,27,27,86,86
103555,30,30,29,29,27,27,86,86
105469,2,31,0,29,0,28,2,88
106363,30,30,29,29,21,28,80,87
106647,30,30,25,29,27,27,82,86
106906,29,30,29,29,14,28,72,87
107630,30,30,26,29,14,27,70,86
112304,30,30,29,29,26,26,85,85
112435,0,30,0,29,0,28,0,87
113265,28,30,29,29,1,28,58,87
115535,30,30,27,29,22,26,79,85
115748,11,30,29,29,2,28,42,87
116551,30,30,26,29,27,27,83,86
118061,30,30,18,29,27,27,75,86
125163,30,30,3,29,0,27,33,86
128975,30,30,17,29,10,27,57,86
135465,30,30,29,29,27,27,86,86
136493,30,30,26,29,28,28,84,87
139624,27,30,29,29,21,26,77,85
140133,30,30,29,29,6,27,65,86
141335,0,30,0,29,0,27,0,86
142069,30,30,29,29,26,26,85,85
144087,0,30,0,29,0,27,0,86
144148,30,30,29,29,26,26,85,85
146726,7,30,7,29,6,27,20,86
148201,30,30,29,29,26,26,85,85
148259,30,30,1,29,1,28,32,87
148825,24,30,24,29,28,28,76,87
150804,17,30,18,29,21,27,56,86
150989,30,30,29,29,26,26,85,85
151199,25,30,19,29,24,28,68,87
152263,27,30,8,29,22,28,57,87
152819,30,30,29,29,26,26,85,85
157673,30,30,29,29,26,26,85,85
158061,0,30,0,29,0,27,0,86
162493,14,30,7,29,6,26,27,85
162508,30,30,7,29,26,26,63,85
166006,30,30,29,29,28,28,87,87
166172,30,30,29,29,26,26,85,85
166983,30,30,29,29,26,26,85,85
169483,0,31,4,29,0,28,4,88
170420,30,30,29,29,26,26,85,85
170761,27,30,24,29,22,28,73,87
171562,30,30,24,29,3,27,57,86
173151,30,30,29,29,28,28,87,87
174966,1,30,1,29,1,27,3,86
176135,26,30,18,29,14,28,58,87
177495,30,30,29,29,26,26,85,85
177606,30,30,29,29,28,28,87,87
179670,7,30,7,29,7,27,21,86
182069,30,30,27,29,10,28,67,87
187986,30,30,29,29,26,26,85,85
188674,30,30,29,29,26,26,85,85
188803,29,30,29,29,26,26,84,85
189135,24,30,14,29,17,27,55,86
189181,30,30,29,29,26,26,85,85
189787,30,30,29,29,26,26,85,85
190968,30,30,29,29,26,26,85,85
190974,11,30,23,29,0,26,34,85
191610,30,30,28,29,27,27,85,86
195123,0,30,0,29,0,28,0,87
195240,2,30,2,29,2,28,6,87
195989,30,30,29,29,28,28,87,87
198744,1,30,2,29,1,27,4,86
199733,30,30,0,29,3,28,33,87
200955,30,30,29,29,27,27,86,86
201514,30,30,29,29,26,26,85,85
201992,30,30,29,29,28,28,87,87
202273,30,30,29,29,26,26,85,85
203901,30,30,29,29,26,26,85,85
204065,30,30,29,29,28,28,87,87
205485,2,30,2,29,1,26,5,85
206316,30,30,29,29,26,26,85,85
206957,2,30,2,29,3,28,7,87
208148,30,30,29,29,26,26,85,85
208889,30,30,5,29,27,27,62,86
209310,29,30,28,29,0,0,57,59
212544,30,30,29,29,26,26,85,85
213330,28,30,12,29,21,27,61,86
214917,30,30,29,29,26,26,85,85
216080,30,30,28,29,28,28,86,87
217580,8,30,29,29,28,28,65,87
218358,29,30,29,29,0,0,58,59
219066,30,30,29,29,28,28,87,87
219922,26,30,25,29,28,28,79,87
220563,30,30,29,29,26,26,85,85
222304,30,30,29,29,27,27,86,86
223930,1,30,2,29,2,28,5,87
225354,9,30,27,29,28,28,64,87
225976,31,31,29,29,26,28,86,88
227495,30,30,29,29,28,28,87,87
228317,1,30,1,29,0,27,2,86
228925,30,30,29,29,26,26,85,85
230877,21,30,18,29,0,27,39,86
231154,30,30,29,29,26,26,85,85
232612,30,30,29,29,26,27,85,86
232775,30,30,29,29,26,26,85,85
233638,0,30,0,29,0,27,0,86
235552,30,30,29,29,28,28,87,87
235651,1,30,1,29,1,27,3,86
235951,30,30,28,29,25,26,83,85
235960,30,30,29,29,0,0,59,59
236788,30,30,29,29,28,28,87,87
239733,30,30,7,29,7,28,44,87
245544,30,30,28,29,28,28,86,87
245574,12,30,0,29,15,28,27,87
246351,30,30,29,29,26,26,85,85
248865,0,30,1,29,27,27,28,86
248966,1,30,1,29,0,27,2,86
249618,30,30,29,29,26,26,85,85
249704,30,30,25,29,28,28,83,87
249867,0,30,0,29,0,27,0,86
250323,30,30,29,29,26,26,85,85
250536,7,30,7,29,6,27,20,86
250537,0,30,0,29,0,27,0,86
251277,3,30,6,29,11,27,20,86
252865,30,30,29,29,26,26,85,85
253332,30,30,18,29,22,28,70,87
253466,0,30,1,29,27,27,28,86
253471,0,30,1,29,27,27,28,86
253475,0,30,1,29,27,27,28,86
253800,0,30,1,29,28,28,29,87
253803,0,30,1,29,27,27,28,86
253806,0,30,1,29,27,27,28,86
253811,0,30,1,29,27,27,28,86
253828,17,30,1,29,27,27,45,86
253839,0,30,1,29,27,27,28,86
253842,30,30,29,29,27,27,86,86
253846,0,30,1,29,22,22,23,81
254168,30,30,29,29,27,27,86,86
255476,29,30,29,29,1,28,59,87
255601,30,30,19,29,25,27,74,86
255957,30,30,29,29,1,27,60,86
257097,30,30,29,29,27,27,86,86
258688,30,30,29,29,26,26,85,85
258690,30,30,29,29,26,26,85,85
258740,30,30,29,29,26,26,85,85
258930,30,30,29,29,26,26,85,85
260755,0,30,0,29,0,27,0,86
261674,30,30,29,29,26,26,85,85
262405,30,30,29,29,26,26,85,85
262478,30,30,29,29,26,26,85,85
263005,30,30,29,29,26,26,85,85
263232,7,30,15,29,7,28,29,87
263888,30,30,29,29,0,0,59,59
265145,30,30,29,29,26,26,85,85
265506,30,30,29,29,26,26,85,85
266449,28,30,10,29,27,27,65,86
266753,0,30,0,29,0,27,0,86
267376,26,30,29,29,0,0,55,59
267435,30,30,29,29,26,26,85,85
267652,31,31,0,29,10,28,41,88
268335,30,30,29,29,6,28,65,87
268481,30,30,29,29,26,26,85,85
269283,0,30,8,29,1,28,9,87
269404,0,30,0,29,0,28,0,87
270139,30,30,29,29,26,26,85,85
270231,0,30,0,29,0,28,0,87
270345,21,30,11,29,1,27,33,86
271083,30,30,12,29,1,28,43,87
271694,30,30,29,29,26,26,85,85
272026,30,30,29,29,28,28,87,87
274743,30,30,29,29,12,27,71,86
275976,30,30,29,29,0,0,59,59
276021,0,30,0,29,0,28,0,87
276317,0,30,0,29,0,28,0,87
278876,30,30,29,29,26,26,85,85
279857,26,30,14,29,16,27,56,86
281521,30,30,29,29,26,26,85,85
281851,5,30,29,29,28,28,62,87
283550,30,30,29,29,26,26,85,85
286838,30,30,29,29,26,26,85,85
287408,10,30,7,29,26,26,43,85
287845,30,30,29,29,1,28,60,87
288726,30,30,29,29,25,26,84,85
289665,30,30,29,29,26,26,85,85
289703,30,30,29,29,26,26,85,85
292637,30,30,29,29,26,26,85,85
292800,30,30,29,29,27,27,86,86
294227,0,30,0,29,27,27,27,86
294242,2,30,1,29,28,28,31,87
294259,3,30,2,29,27,27,32,86
294263,3,30,0,29,28,28,31,87
294280,0,30,0,29,27,27,27,86
295231,30,30,29,29,26,26,85,85
295998,30,30,29,29,15,27,74,86
296361,30,30,29,29,26,26,85,85
298759,11,30,26,29,28,28,65,87
299062,30,30,29,29,26,26,85,85
299531,0,31,0,29,0,28,0,88
301034,30,30,8,29,3,27,41,86
301372,30,30,29,29,26,26,85,85
302238,5,30,15,29,17,26,37,85
302280,14,30,29,29,18,27,61,86
302309,6,30,22,29,27,27,55,86
302705,30,30,22,29,0,27,52,86
302758,1,30,2,29,2,28,5,87
303264,1,30,14,29,17,26,32,85
305245,14,30,28,29,27,27,69,86
306799,1,30,29,29,28,28,58,87
310325,30,30,29,29,28,28,87,87
310338,30,30,29,29,7,28,66,87
310524,24,30,14,29,18,28,56,87
312415,30,30,29,29,26,26,85,85
314982,30,30,28,29,26,27,84,86
318021,30,30,5,29,2,28,37,87
320877,30,30,29,29,26,26,85,85
321014,30,30,29,29,26,26,85,85
321136,7,30,12,29,7,28,26,87
322037,0,30,0,29,0,28,0,87
325429,2,30,2,29,2,27,6,86
328040,30,30,29,29,26,26,85,85
328744,30,30,29,29,26,26,85,85
332208,2,30,2,29,2,28,6,87
333323,30,30,20,29,7,27,57,86
334607,30,30,29,29,26,26,85,85
342995,1,30,1,29,27,27,29,86
343276,30,30,22,29,18,27,70,86
344082,30,30,29,29,0,0,59,59
344092,30,30,29,29,26,26,85,85
350168,23,30,9,29,3,28,35,87
351859,1,30,1,29,1,27,3,86
352651,30,30,29,29,0,28,59,87
353317,1,30,17,29,1,27,19,86
355563,29,30,0,29,0,28,29,87
363016,30,30,29,29,26,26,85,85
367810,30,30,29,29,26,26,85,85
373618,24,30,8,29,11,28,43,87
380730,30,30,29,29,26,26,85,85
385824,0,30,0,29,0,28,0,87
386744,3,30,29,29,25,27,57,86
386799,30,30,29,29,26,26,85,85
387666,30,30,28,28,28,28,86,86
389482,0,30,0,29,0,26,0,85
392948,30,30,28,29,3,28,61,87
394111,0,30,0,29,0,26,0,85
396636,0,30,0,29,0,28,0,87
397034,0,30,0,29,0,27,0,86
400039,30,30,29,29,26,26,85,85
408491,30,30,29,29,26,26,85,85
408983,29,30,1,29,19,26,49,85
409262,13,30,0,29,15,27,28,86
411918,30,30,29,29,20,27,79,86
413504,1,30,1,29,0,27,2,86
415304,30,30,29,29,26,26,85,85
416557,29,30,1,29,0,26,30,85
417685,18,30,29,29,9,28,56,87
423275,1,30,2,29,2,28,5,87
424767,30,30,9,29,1,27,40,86
430427,30,30,29,29,26,26,85,85
430665,30,30,29,29,26,26,85,85
431865,19,30,8,29,19,28,46,87
432090,30,30,29,29,26,26,85,85
432823,2,30,2,29,2,28,6,87
433218,30,30,29,29,26,26,85,85
433414,21,30,27,29,14,28,62,87
433914,30,30,1,29,0,28,31,87
437352,30,30,29,29,28,28,87,87
437906,30,30,29,29,26,26,85,85
438513,30,30,29,29,26,26,85,85
439750,30,30,29,29,27,27,86,86
439870,30,30,29,29,28,28,87,87
442636,30,30,29,29,28,28,87,87
442649,30,30,29,29,26,26,85,85
443646,2,30,2,29,1,27,5,86
444430,30,30,29,29,26,26,85,85
447766,30,30,29,29,27,27,86,86
448011,2,30,3,29,3,28,8,87
449660,0,31,0,29,0,28,0,88
450577,17,30,26,29,28,28,71,87
453094,26,30,23,29,22,28,71,87
453255,30,30,29,29,26,26,85,85
454334,30,30,29,29,26,26,85,85
455734,30,30,29,29,17,26,76,85
456110,30,30,29,29,26,26,85,85
456190,30,30,1,29,14,27,45,86
456457,30,30,29,29,26,26,85,85
456578,3,30,3,29,3,28,9,87
457829,30,30,29,29,26,26,85,85
459066,30,30,29,29,26,26,85,85
460999,30,30,29,29,26,26,85,85
463042,30,30,6,29,0,27,36,86
464231,30,30,29,29,26,26,85,85
465706,21,30,21,29,26,26,68,85
466277,23,30,7,29,23,28,53,87
466457,1,30,1,29,0,26,2,85
467569,30,30,29,29,26,26,85,85
467866,30,30,29,29,26,26,85,85
470330,30,30,29,29,26,26,85,85
470498,30,30,29,29,26,26,85,85
471758,30,30,29,29,26,26,85,85
471845,30,30,29,29,26,26,85,85
476983,30,30,20,29,28,28,78,87
478832,30,30,29,29,26,26,85,85
479002,30,30,29,29,26,26,85,85
479285,1,30,1,29,1,28,3,87
483414,30,30,29,29,28,28,87,87
484728,30,30,29,29,26,26,85,85
487684,7,30,7,29,7,28,21,87
488958,0,30,0,0,0,0,0,30
491123,0,30,0,29,7,27,7,86
491529,30,30,29,29,26,26,85,85
495249,30,30,29,29,26,26,85,85
496166,2,30,2,29,2,28,6,87
498052,29,30,29,29,28,28,86,87
499249,30,30,29,29,26,26,85,85
499763,3,30,3,29,3,27,9,86
503460,30,30,29,29,26,26,85,85
504322,30,30,29,29,26,26,85,85
504362,6,30,7,29,7,28,20,87
504437,30,30,25,29,26,26,81,85
505231,30,30,29,29,26,26,85,85
505315,30,30,29,29,26,26,85,85
507393,24,30,9,29,5,27,38,86
512022,30,30,29,29,26,26,85,85
513343,20,30,29,29,27,28,76,87
513688,23,30,3,29,2,28,28,87
514548,30,30,29,29,27,27,86,86
517654,30,30,29,29,26,26,85,85
519310,1,30,0,29,0,28,1,87
521018,30,30,29,29,26,26,85,85
521522,30,30,29,29,26,26,85,85
523123,30,30,29,29,20,28,79,87
528485,29,30,28,29,27,28,84,87
528615,30,30,29,29,26,26,85,85
530576,7,30,27,29,27,27,61,86
531455,30,30,29,29,9,28,68,87
532288,30,30,29,29,26,26,85,85
536578,30,30,29,29,19,27,78,86
540057,30,30,29,29,11,28,70,87
541725,1,30,1,29,0,27,2,86
543792,21,30,29,29,28,28,78,87
544039,30,30,29,29,26,26,85,85
545261,0,30,0,29,0,28,0,87
545586,12,30,23,29,28,28,63,87
545651,30,30,0,29,0,28,30,87
548184,30,30,29,29,26,26,85,85
549873,30,30,29,29,26,26,85,85
550653,30,30,29,29,28,28,87,87
