listing_id,y_clean,y_orig
2539,0,0
2595,0,0
6848,76,76
6872,20,0
6990,89,34
7064,0,0
7097,0,0
60611,34,0
60666,26,0
60673,0,0
60680,2,2
60794,0,0
61406,2,2
62925,52,0
63610,7,7
63657,0,0
7801,49,29
8490,33,30
9357,19,3
10452,89,89
11943,0,0
12192,20,0
64015,0,0
64314,0,0
64365,50,50
65615,0,0
65660,70,39
66008,47,47
66251,27,13
66974,42,42
67299,60,0
68253,0,0
68735,46,46
68974,0,0
71384,0,0
72190,0,0
12937,39,39
12940,82,82
14314,89,89
15385,89,89
15396,2,1
16338,78,78
74680,89,89
74860,0,0
75635,62,62
75658,2,2
77765,0,0
79067,0,0
80684,0,0
80700,0,0
81739,0,0
82638,50,50
82928,16,16
83243,66,66
16821,39,0
16974,22,22
17037,8,5
18152,0,0
83474,16,16
84010,1,0
89427,14,14
93313,41,41
94783,47,26
96471,2,2
98663,89,89
100002,21,14
18728,10,10
18961,0,0
100186,58,33
101053,0,0
103311,0,0
103555,0,0
105469,0,0
106363,57,44
106647,56,30
106906,41,9
107630,16,1
112304,0,0
112435,0,0
113265,4,4
19174,76,76
19812,89,89
20913,0,0
21456,30,30
21644,0,0
21794,1,1
115535,89,89
115748,6,0
116551,57,57
118061,79,79
125163,0,0
128975,51,0
136493,2,0
139624,49,0
140133,0,0
141335,0,0
23135,0,0
23545,21,21
24285,89,89
25406,36,0
25696,62,61
26785,0,0
142069,0,0
144087,0,0
144148,0,0
146726,20,20
148201,0,0
148825,4,4
150804,33,33
150989,0,0
151199,43,42
152263,12,12
152819,0,0
27883,0,0
28907,0,0
29013,89,89
29628,65,65
31130,17,17
31555,0,0
31902,0,0
31994,26,25
157673,80,80
158061,0,0
162493,21,21
162508,52,52
166006,48,48
166172,0,0
166983,0,0
169483,0,0
170420,0,0
170761,45,45
171562,23,0
173151,65,0
174966,1,1
32037,1,1
33009,89,89
34760,0,0
177495,0,0
177606,0,0
179670,20,0
182069,33,33
187986,0,0
188674,0,0
188803,0,0
189135,8,0
189181,0,0
189787,0,0
190968,0,0
190974,3,3
191610,59,59
195123,0,0
195240,6,0
195989,0,0
198744,21,0
199733,20,20
201514,0,0
201992,30,30
202273,0,0
203901,0,0
204065,0,0
205485,6,4
206316,0,0
206957,9,0
208148,0,0
208889,89,89
212544,0,0
213330,31,31
214917,0,0
36647,41,0
38663,11,11
38833,60,60
39282,37,0
39593,89,89
39704,0,0
42300,74,74
