listing_id,y_fused,y_clean,y_review
2539,0,0,0.0
2595,0,0,0.0
6848,76,76,0.0
6872,20,20,0.0
6990,89,89,0.0
7064,0,0,0.0
7097,0,0,0.0
60611,34,34,0.0
60666,26,26,0.0
60673,0,0,0.0
60680,2,2,0.0
60794,0,0,0.0
61406,2,2,0.0
62925,52,52,0.0
63610,7,7,0.0
63657,0,0,0.0
7801,49,49,6.0
8490,33,33,0.0
9357,19,19,0.0
10452,89,89,0.0
11943,0,0,0.0
12192,20,20,0.0
64015,0,0,0.0
64314,0,0,0.0
64365,50,50,6.0
65615,0,0,0.0
65660,70,70,0.0
66008,47,47,0.0
66251,27,27,0.0
66974,42,42,6.0
67299,60,60,6.0
68253,0,0,0.0
68735,46,46,0.0
68974,0,0,0.0
71384,0,0,0.0
72190,0,0,0.0
12937,39,39,0.0
12940,82,82,0.0
14314,89,89,0.0
15385,89,89,0.0
15396,2,2,0.0
16338,78,78,0.0
74680,89,89,0.0
74860,0,0,0.0
75635,62,62,0.0
75658,2,2,0.0
77765,0,0,0.0
79067,0,0,0.0
80684,0,0,0.0
80700,0,0,0.0
81739,0,0,0.0
82638,50,50,6.0
82928,16,16,0.0
83243,66,66,0.0
16821,78,39,78.0
16974,22,22,0.0
17037,8,8,0.0
18152,0,0,0.0
83474,16,16,0.0
84010,1,1,0.0
89427,14,14,0.0
93313,41,41,0.0
94783,47,47,24.0
96471,2,2,0.0
98663,89,89,0.0
100002,21,21,0.0
18728,10,10,0.0
18961,0,0,0.0
100186,58,58,0.0
101053,0,0,0.0
103311,0,0,0.0
103555,0,0,0.0
105469,0,0,0.0
106363,57,57,0.0
106647,56,56,0.0
106906,41,41,0.0
107630,16,16,0.0
112304,0,0,0.0
112435,0,0,0.0
113265,4,4,0.0
19174,76,76,0.0
19812,89,89,0.0
20913,0,0,0.0
21456,30,30,0.0
21644,0,0,0.0
21794,1,1,0.0
115535,89,89,0.0
115748,6,6,0.0
116551,57,57,12.0
118061,79,79,0.0
125163,0,0,0.0
128975,51,51,0.0
136493,2,2,0.0
139624,49,49,0.0
140133,0,0,0.0
141335,0,0,0.0
23135,0,0,0.0
23545,21,21,0.0
24285,89,89,0.0
25406,36,36,6.0
25696,62,62,36.0
26785,0,0,0.0
142069,0,0,0.0
144087,0,0,0.0
144148,0,0,0.0
146726,20,20,0.0
148201,0,0,0.0
148825,4,4,0.0
150804,33,33,12.0
150989,0,0,0.0
151199,43,43,36.0
152263,12,12,0.0
152819,0,0,0.0
27883,0,0,0.0
28907,0,0,0.0
29013,89,89,0.0
29628,65,65,48.0
31130,17,17,0.0
31555,0,0,0.0
31902,0,0,0.0
31994,26,26,18.0
157673,80,80,0.0
158061,0,0,0.0
162493,21,21,0.0
162508,52,52,0.0
166006,48,48,0.0
166172,0,0,0.0
166983,0,0,0.0
169483,0,0,0.0
170420,0,0,0.0
170761,45,45,42.0
171562,23,23,0.0
173151,65,65,0.0
174966,1,1,0.0
32037,1,1,0.0
33009,89,89,0.0
34760,0,0,0.0
177495,0,0,0.0
177606,0,0,0.0
179670,20,20,0.0
182069,33,33,6.0
187986,0,0,0.0
188674,0,0,0.0
188803,0,0,0.0
189135,12,8,12.0
189181,0,0,0.0
189787,0,0,0.0
190968,0,0,0.0
190974,3,3,0.0
191610,59,59,12.0
195123,0,0,0.0
195240,6,6,0.0
195989,0,0,0.0
198744,21,21,0.0
199733,20,20,0.0
201514,0,0,0.0
201992,30,30,0.0
202273,0,0,0.0
203901,0,0,0.0
204065,0,0,0.0
205485,6,6,0.0
206316,0,0,0.0
206957,9,9,0.0
208148,0,0,0.0
208889,89,89,0.0
212544,0,0,0.0
213330,31,31,6.0
214917,0,0,0.0
36647,41,41,6.0
38663,11,11,0.0
38833,60,60,0.0
39282,37,37,18.0
39593,89,89,0.0
39704,0,0,0.0
42300,74,74,0.0
42729,3,3,0.0
44229,0,0,0.0
45542,0,0,0.0
45910,0,0,0.0
45935,21,21,0.0
45936,0,0,0.0
46544,27,27,0.0
46911,79,79,12.0
216080,26,26,0.0
217580,0,0,0.0
219066,2,2,0.0
219922,3,3,0.0
220563,0,0,0.0
222304,2,2,0.0
223930,21,21,0.0
225354,20,20,0.0
225976,88,88,6.0
227495,0,0,0.0
228317,2,2,0.0
228925,0,0,0.0
49048,0,0,0.0
51438,0,0,0.0
52689,30,26,30.0
230877,74,74,0.0
231154,0,0,0.0
232612,42,17,42.0
232775,0,0,0.0
233638,1,1,0.0
235552,61,61,0.0
235651,2,2,0.0
235951,33,33,6.0
235960,39,39,0.0
53469,0,0,0.0
53470,0,0,0.0
53477,0,0,0.0
54466,0,0,0.0
54508,51,51,12.0
54544,2,2,0.0
54694,0,0,0.0
236788,0,0,0.0
239733,21,21,0.0
245544,0,0,0.0
245574,50,50,6.0
246351,0,0,0.0
248865,1,1,0.0
248966,3,3,0.0
249618,0,0,0.0
249704,89,89,0.0
249867,0,0,0.0
250323,0,0,0.0
54860,27,27,0.0
55959,43,43,18.0
55982,0,0,0.0
250536,21,21,0.0
250537,0,0,0.0
251277,0,0,0.0
252865,0,0,0.0
253332,33,33,0.0
253466,1,1,0.0
253471,1,1,0.0
253475,1,1,0.0
253800,4,4,0.0
253803,1,1,0.0
253806,1,1,0.0
56859,37,37,6.0
57166,52,52,6.0
57297,0,0,0.0
57618,0,0,0.0
57874,76,76,0.0
58059,72,72,0.0
59014,65,65,6.0
59121,0,0,0.0
60181,1,1,0.0
60457,0,0,0.0
344092,0,0,0.0
253811,1,1,0.0
253828,0,0,0.0
253839,0,0,0.0
253842,0,0,0.0
253846,1,1,0.0
254168,0,0,0.0
255476,46,46,0.0
255601,65,65,30.0
255957,38,38,0.0
257097,1,1,0.0
258688,0,0,0.0
346579,0,0,0.0
350168,9,9,0.0
351859,2,2,0.0
352651,0,0,0.0
353317,5,5,0.0
355563,41,41,0.0
258690,0,0,0.0
258740,0,0,0.0
258930,0,0,0.0
260755,0,0,0.0
261674,0,0,0.0
262405,0,0,0.0
262478,0,0,0.0
263005,0,0,0.0
263232,21,21,0.0
263888,56,56,0.0
265145,0,0,0.0
265506,0,0,0.0
363016,0,0,0.0
367810,0,0,0.0
373618,11,11,0.0
380730,0,0,0.0
385824,0,0,0.0
386744,49,49,0.0
266449,47,47,12.0
266753,0,0,0.0
267435,0,0,0.0
267652,34,34,0.0
268335,17,17,0.0
268481,0,0,0.0
269283,3,3,0.0
269404,0,0,0.0
270139,0,0,0.0
270231,2,2,0.0
386799,0,0,0.0
387666,9,9,0.0
389482,0,0,0.0
392948,69,69,0.0
394111,0,0,0.0
396636,0,0,0.0
397034,0,0,0.0
270345,2,2,0.0
271083,60,60,0.0
271694,0,0,0.0
272026,89,89,0.0
274743,89,89,0.0
276021,0,0,0.0
276317,0,0,0.0
278876,0,0,0.0
279857,47,47,36.0
281521,0,0,0.0
400039,0,0,0.0
408491,0,0,0.0
408983,48,48,6.0
409262,71,71,12.0
411918,68,68,6.0
413504,3,3,0.0
415304,0,0,0.0
416557,2,2,0.0
281851,5,5,0.0
283550,0,0,0.0
286838,0,0,0.0
287408,0,0,0.0
287845,72,72,0.0
288726,19,19,0.0
289665,0,0,0.0
289703,0,0,0.0
289958,2,2,0.0
292637,0,0,0.0
292800,61,61,0.0
417685,87,87,6.0
423275,6,6,0.0
424767,76,76,6.0
430427,0,0,0.0
294227,0,0,0.0
294242,1,1,0.0
294259,0,0,0.0
294263,0,0,0.0
294280,0,0,0.0
295231,0,0,0.0
295998,59,59,6.0
296361,0,0,0.0
298759,0,0,0.0
299062,0,0,0.0
299531,31,31,0.0
430665,0,0,0.0
431865,29,29,18.0
432090,0,0,0.0
432823,6,6,0.0
433218,0,0,0.0
433414,47,47,6.0
433914,0,0,0.0
301372,0,0,0.0
302238,6,6,6.0
302280,46,46,0.0
302309,3,3,0.0
302705,89,89,0.0
302758,6,6,0.0
303264,40,40,0.0
305245,3,3,0.0
306799,3,3,0.0
310325,57,57,0.0
310338,46,46,0.0
437352,89,89,0.0
437906,0,0,0.0
438513,21,21,0.0
439750,59,59,0.0
439870,64,64,0.0
310524,19,19,6.0
312415,0,0,0.0
314982,17,17,0.0
318021,6,1,6.0
320877,0,0,0.0
321014,0,0,0.0
321136,66,66,0.0
322037,0,0,0.0
323706,21,21,0.0
325429,6,6,0.0
442636,89,89,0.0
442649,0,0,0.0
443646,5,5,0.0
444430,0,0,0.0
448011,9,9,0.0
449660,0,0,0.0
450577,1,1,0.0
453094,36,32,36.0
453255,0,0,0.0
454334,0,0,0.0
454763,22,22,0.0
328040,0,0,0.0
328744,0,0,0.0
332208,5,5,0.0
333323,64,64,6.0
334607,0,0,0.0
342995,3,3,0.0
343276,83,83,6.0
344082,61,61,0.0
498052,64,64,0.0
499249,0,0,0.0
499763,8,8,0.0
455734,59,59,0.0
456110,0,0,0.0
456190,46,46,0.0
456457,0,0,0.0
456578,9,9,0.0
457829,0,0,0.0
459066,0,0,0.0
503460,0,0,0.0
504322,0,0,0.0
504362,21,21,0.0
504437,0,0,0.0
505231,0,0,0.0
505315,0,0,0.0
507393,43,43,0.0
512022,0,0,0.0
513343,61,61,0.0
513688,24,24,0.0
514548,46,46,0.0
460999,0,0,0.0
463042,77,77,0.0
464231,0,0,0.0
465706,0,0,0.0
466277,47,47,0.0
466457,3,3,0.0
467569,0,0,0.0
467866,0,0,0.0
470330,0,0,0.0
470498,0,0,0.0
471758,0,0,0.0
517654,0,0,0.0
519310,2,2,0.0
521018,0,0,0.0
521522,0,0,0.0
523123,33,33,0.0
528485,19,19,0.0
528615,0,0,0.0
530576,15,15,0.0
531455,69,69,0.0
532288,58,58,6.0
536578,12,12,0.0
471845,0,0,0.0
476983,43,43,6.0
478832,0,0,0.0
479002,0,0,0.0
479285,3,3,0.0
483414,86,86,0.0
484728,0,0,0.0
540057,42,42,0.0
541725,2,2,0.0
543792,70,70,6.0
544039,0,0,0.0
545261,0,0,0.0
545586,23,23,0.0
545651,0,0,0.0
548184,0,0,0.0
549873,0,0,0.0
550653,3,3,0.0
550858,0,0,0.0
487684,21,21,0.0
491123,0,0,0.0
491529,0,0,0.0
495249,0,0,0.0
496166,6,6,0.0
627949,0,0,0.0
628078,0,0,0.0
552502,6,6,0.0
552519,7,7,6.0
552639,66,29,66.0
553872,0,0,0.0
553903,17,17,0.0
557487,0,0,0.0
560078,47,47,0.0
563442,0,0,0.0
565814,0,0,0.0
566712,0,0,0.0
568684,0,0,0.0
629855,0,0,0.0
634353,1,1,0.0
637426,0,0,0.0
638894,0,0,0.0
639199,32,32,0.0
640899,0,0,0.0
640901,0,0,0.0
640908,0,0,0.0
640990,0,0,0.0
570218,0,0,0.0
570797,6,6,0.0
571564,3,3,0.0
573671,39,39,0.0
576227,0,0,0.0
576916,0,0,0.0
577243,17,17,0.0
579251,0,0,0.0
581180,0,0,0.0
581488,6,6,0.0
582372,0,0,0.0
641012,0,0,0.0
641768,21,21,0.0
643328,75,75,0.0
643591,0,0,0.0
644575,39,39,0.0
645075,59,59,24.0
645693,32,32,6.0
645922,0,0,0.0
646458,2,2,0.0
583352,0,0,0.0
587519,0,0,0.0
587698,0,0,0.0
590903,76,76,0.0
591135,24,24,0.0
591565,0,0,0.0
593000,0,0,0.0
594036,0,0,0.0
594732,0,0,0.0
597544,49,49,0.0
597624,0,0,0.0
597668,9,9,0.0
647580,0,0,0.0
649561,0,0,0.0
649972,0,0,0.0
651375,62,62,6.0
651648,19,19,0.0
655472,0,0,0.0
657198,0,0,0.0
658366,58,58,6.0
599595,0,0,0.0
600775,71,71,0.0
600877,0,0,0.0
602070,20,20,0.0
604204,0,0,0.0
606269,44,44,0.0
607781,38,38,6.0
607891,78,78,6.0
609213,0,0,0.0
611156,45,45,0.0
613528,54,19,54.0
658932,41,41,0.0
614269,0,0,0.0
616249,0,0,0.0
618916,0,0,0.0
622410,0,0,0.0
748233,0,0,0.0
749276,0,0,0.0
752289,0,0,0.0
752366,0,0,0.0
753622,47,47,0.0
753687,74,74,6.0
753991,78,78,6.0
660036,0,0,0.0
664047,1,1,0.0
665394,0,0,0.0
666220,0,0,0.0
666613,45,45,0.0
666837,78,78,12.0
754353,8,8,0.0
755703,0,0,0.0
758919,21,21,0.0
759901,0,0,0.0
761835,3,3,0.0
762015,0,0,0.0
762145,0,0,0.0
762426,3,3,0.0
763600,0,0,0.0
765563,0,0,0.0
667375,0,0,0.0
668691,0,0,0.0
669640,21,21,0.0
675793,0,0,0.0
765569,89,89,0.0
766542,0,0,0.0
766814,0,0,0.0
766964,0,0,0.0
767286,0,0,0.0
769175,0,0,0.0
773844,0,0,0.0
