listing_id,y_occupancy
2539,0
2595,0
6848,76
6872,20
6990,89
7064,89
7097,89
60611,41
60666,26
60673,89
60680,2
60794,89
61406,2
62925,52
63610,7
63657,89
7801,76
8490,48
9357,49
10452,89
11943,89
12192,89
64015,89
64314,28
64365,50
65615,89
65660,70
66008,47
66251,27
66974,42
67299,85
68253,89
68735,46
68974,89
71384,89
72190,89
12937,46
12940,82
14314,89
15385,89
15396,2
16338,78
74680,89
74860,89
75635,62
75658,2
77765,44
79067,89
80684,89
80700,89
81739,89
82638,50
82928,34
83243,66
16821,48
16974,22
17037,8
18152,0
83474,16
84010,45
89427,14
93313,41
94783,47
96471,2
98663,89
100002,21
18728,10
18961,89
100186,58
101053,89
103311,89
103555,0
105469,0
106363,75
106647,56
106906,41
107630,16
112304,89
112435,0
113265,4
19174,76
19812,89
20913,89
21456,30
21644,89
21794,1
115535,89
115748,6
116551,84
118061,79
125163,0
128975,62
136493,63
139624,76
140133,89
141335,0
23135,0
23545,21
24285,89
25406,66
25696,67
26785,88
142069,89
144087,0
144148,89
146726,20
148201,89
148825,4
150804,33
150989,89
151199,59
152263,12
152819,89
27883,89
28907,89
29013,89
29628,69
31130,17
31555,89
31902,89
31994,44
157673,80
158061,0
162493,21
162508,52
166006,48
166172,89
166983,89
169483,0
170420,89
170761,45
171562,68
173151,75
174966,1
32037,1
33009,89
34760,16
177495,89
177606,0
179670,20
182069,33
187986,89
188674,89
188803,89
189135,10
189181,89
189787,89
190968,89
190974,3
191610,75
195123,0
195240,6
195989,89
198744,21
199733,20
201514,89
201992,89
202273,89
203901,89
204065,89
205485,6
206316,89
206957,9
208148,89
208889,89
212544,89
213330,31
214917,89
36647,41
38663,11
38833,74
39282,37
39593,89
39704,89
42300,74
42729,3
44229,0
45542,89
45910,0
45935,21
45936,89
46544,87
46911,79
216080,89
217580,89
219066,16
219922,3
220563,89
222304,56
223930,21
225354,20
225976,88
227495,46
228317,2
228925,89
49048,89
51438,89
52689,57
230877,78
231154,89
232612,73
232775,89
233638,1
235552,89
235651,2
235951,67
235960,39
53469,0
53470,0
53477,0
54466,0
54508,79
54544,2
54694,89
236788,83
239733,21
245544,89
245574,50
246351,89
248865,45
248966,3
249618,89
249704,89
249867,0
250323,89
54860,27
55959,65
55982,89
250536,21
250537,0
251277,0
252865,89
253332,33
253466,45
253471,45
253475,45
253800,52
253803,45
253806,45
56859,37
57166,52
57297,0
57618,89
57874,76
58059,72
59014,65
59121,0
60181,35
60457,89
344092,89
253811,45
253828,89
253839,89
253842,89
253846,45
254168,89
255476,46
255601,65
255957,38
257097,29
258688,89
346579,89
350168,9
351859,2
352651,0
353317,5
355563,41
258690,89
258740,89
258930,89
260755,0
261674,89
262405,89
262478,89
263005,89
263232,21
263888,56
265145,89
265506,89
363016,89
367810,89
373618,11
380730,89
385824,0
386744,49
266449,53
266753,0
267435,89
267652,34
268335,17
268481,89
269283,3
269404,0
270139,89
270231,2
386799,89
387666,9
389482,0
392948,69
394111,0
396636,0
397034,0
270345,2
271083,60
271694,89
272026,89
274743,89
276021,0
276317,0
278876,89
279857,56
281521,89
400039,89
408491,89
408983,48
409262,71
