column,dtype,non_null_%,example_or_stats
listing_id,int64,100.0,min=2595.00 | mean=466790625367679360.00 | max=1521848367963498240.00
y_booked_q4,int64,100.0,min=0.00 | mean=18.99 | max=92.00
q3_booked,float64,98.2,min=0.00 | mean=8.71 | max=60.00
q3_occupied,float64,98.2,min=0.00 | mean=61.67 | max=92.00
q3_obs_days,float64,98.2,min=29.00 | mean=89.20 | max=92.00
q3_changes,float64,98.2,min=0.00 | mean=9.71 | max=60.00
q3_booking_rate,float64,98.2,min=0.00 | mean=0.10 | max=0.66
q3_occ_rate,float64,98.2,min=0.00 | mean=0.69 | max=1.00
booked_m07,float64,98.2,min=0.00 | mean=0.00 | max=0.00
booked_m08,float64,98.2,min=0.00 | mean=3.13 | max=30.00
booked_m09,float64,98.2,min=0.00 | mean=5.58 | max=30.00
recency_booked_sep,float64,98.2,min=0.00 | mean=5.58 | max=30.00
trend_sep_minus_jul,float64,98.2,min=0.00 | mean=5.58 | max=30.00
lst_price_mean,float64,62.8,min=6.50 | mean=553.01 | max=50055.33
lst_price_std,float64,57.1,min=0.00 | mean=112.01 | max=35167.96
lst_price_last,float64,56.5,min=10.00 | mean=476.51 | max=50083.00
lst_price_cv,float64,57.1,min=0.00 | mean=0.08 | max=1.71
lst_price_change,float64,48.5,min=-0.99 | mean=0.13 | max=221.22
neighbourhood_cleansed,str,97.6,Bedford-Stuyvesant | Williamsburg | Midtown
neighbourhood_group_cleansed,str,97.6,Manhattan | Brooklyn | Queens
latitude,float64,97.6,min=40.50 | mean=40.73 | max=40.91
longitude,float64,97.6,min=-74.25 | mean=-73.95 | max=-73.71
property_type,str,97.6,Entire rental unit | Private room in rental unit | Private room in home
room_type,str,97.6,Entire home/apt | Private room | Hotel room
accommodates,float64,97.6,min=1.00 | mean=2.74 | max=16.00
bathrooms,float64,57.0,min=0.00 | mean=1.19 | max=15.50
bedrooms,float64,80.9,min=0.00 | mean=1.38 | max=16.00
beds,float64,56.9,min=0.00 | mean=1.63 | max=40.00
price,float64,56.5,min=10.00 | mean=476.51 | max=50083.00
minimum_nights,float64,97.6,min=1.00 | mean=28.57 | max=1124.00
maximum_nights,float64,97.6,min=1.00 | mean=61507.13 | max=2147483647.00
host_is_superhost,float64,97.6,min=0.00 | mean=0.20 | max=1.00
host_response_rate,float64,54.8,min=0.00 | mean=89.88 | max=100.00
host_acceptance_rate,float64,54.9,min=0.00 | mean=74.70 | max=100.00
host_listings_count,float64,94.5,min=1.00 | mean=110.81 | max=5445.00
host_total_listings_count,float64,94.5,min=1.00 | mean=189.03 | max=9551.00
instant_bookable,float64,97.6,min=0.00 | mean=0.21 | max=1.00
number_of_reviews,float64,97.6,min=0.00 | mean=27.31 | max=3655.00
number_of_reviews_ltm,float64,97.6,min=0.00 | mean=4.02 | max=1733.00
number_of_reviews_l30d,float64,97.6,min=0.00 | mean=0.29 | max=124.00
reviews_per_month,float64,67.7,min=0.01 | mean=0.82 | max=124.18
review_scores_rating,float64,67.7,min=0.00 | mean=4.73 | max=5.00
review_scores_accuracy,float64,67.7,min=0.00 | mean=4.77 | max=5.00
review_scores_cleanliness,float64,67.7,min=0.00 | mean=4.66 | max=5.00
review_scores_location,float64,67.6,min=0.00 | mean=4.75 | max=5.00
review_scores_value,float64,67.6,min=0.00 | mean=4.64 | max=5.00
estimated_occupancy_l365d,float64,97.6,min=0.00 | mean=46.99 | max=255.00
estimated_revenue_l365d,float64,56.5,min=0.00 | mean=16060.66 | max=12750000.00
license_missing,float64,97.6,min=0.00 | mean=0.85 | max=1.00
has_reviews,float64,97.6,min=0.00 | mean=0.69 | max=1.00
host_age_days,float64,94.5,min=34.00 | mean=3108.25 | max=6260.00
days_since_first_review,float64,67.7,min=30.00 | mean=1938.06 | max=5973.00
days_since_last_review,float64,67.7,min=30.00 | mean=1031.94 | max=5256.00
bed_bath_ratio,float64,56.0,min=0.00 | mean=1.41 | max=12.00
price_per_person,float64,56.5,min=3.27 | mean=178.12 | max=50000.00
kw_luxury,float64,97.6,min=0.00 | mean=0.06 | max=1.00
kw_private,float64,97.6,min=0.00 | mean=0.28 | max=1.00
kw_cozy,float64,97.6,min=0.00 | mean=0.17 | max=1.00
kw_modern,float64,97.6,min=0.00 | mean=0.14 | max=1.00
kw_spacious,float64,97.6,min=0.00 | mean=0.18 | max=1.00
kw_view,float64,97.6,min=0.00 | mean=0.12 | max=1.00
kw_near,float64,97.6,min=0.00 | mean=0.17 | max=1.00
kw_studio,float64,97.6,min=0.00 | mean=0.12 | max=1.00
title_len,float64,97.6,min=0.00 | mean=36.75 | max=154.00
title_words,float64,97.6,min=0.00 | mean=6.16 | max=27.00
review_scores_rating_missing,float64,97.6,min=0.00 | mean=0.31 | max=1.00
host_response_rate_missing,float64,97.6,min=0.00 | mean=0.44 | max=1.00
reviews_per_month_missing,float64,97.6,min=0.00 | mean=0.31 | max=1.00
estimated_occupancy_l365d_missing,float64,97.6,min=0.00 | mean=0.00 | max=0.00
geo_cluster,str,97.6,c0 | c11 | c8
