listing_id,y_booked_q4,q3_booked,q3_occupied,q3_obs_days,q3_changes,q3_booking_rate,q3_occ_rate,booked_m07,booked_m08,booked_m09,recency_booked_sep,trend_sep_minus_jul,lst_price_mean,lst_price_std,lst_price_last,lst_price_cv,lst_price_change,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,host_is_superhost,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,instant_bookable,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,estimated_occupancy_l365d,estimated_revenue_l365d,license_missing,has_reviews,host_age_days,days_since_first_review,days_since_last_review,bed_bath_ratio,price_per_person,kw_luxury,kw_private,kw_cozy,kw_modern,kw_spacious,kw_view,kw_near,kw_studio,title_len,title_words,review_scores_rating_missing,host_response_rate_missing,reviews_per_month_missing,estimated_occupancy_l365d_missing,geo_cluster
2595,31,29.0,60.0,91.0,36.0,0.31868131868131866,0.6593406593406593,0.0,0.0,29.0,29.0,29.0,240.66666666666666,1.1547005383792515,240.0,0.004797924674706031,-0.008264462809917356,Midtown,Manhattan,40.75356,-73.98559,Entire rental unit,Entire home/apt,1.0,1.0,0.0,1.0,240.0,30.0,1125.0,0.0,79.0,24.0,7.0,9.0,0.0,47.0,0.0,0.0,0.24,4.68,4.73,4.63,4.81,4.4,0.0,0.0,1.0,1.0,6231.0,5793.0,1198.0,1.0,240.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,49.0,7.0,0.0,0.0,0.0,0.0,c0
6848,39,2.0,77.0,91.0,12.0,0.02197802197802198,0.8461538461538461,0.0,0.0,2.0,2.0,2.0,96.66666666666667,1.1547005383792517,96.0,0.011945177983233638,0.0,Williamsburg,Brooklyn,40.70935,-73.95342,Entire rental unit,Entire home/apt,3.0,1.0,2.0,1.0,96.0,30.0,240.0,1.0,100.0,100.0,1.0,1.0,0.0,195.0,3.0,0.0,0.98,4.59,4.6,4.85,4.69,4.58,180.0,17280.0,1.0,1.0,5992.0,5973.0,114.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,6.0,0.0,0.0,0.0,0.0,c9
6872,1,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0,,59.0,,,East Harlem,Manhattan,40.80107,-73.94255,Private room in condo,Private room,1.0,1.0,1.0,1.0,59.0,30.0,180.0,0.0,100.0,33.0,2.0,2.0,0.0,1.0,0.0,0.0,0.03,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,5991.0,1214.0,1214.0,1.0,59.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,8.0,0.0,0.0,0.0,0.0,c3
6990,69,0.0,78.0,91.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,77.0,6.082762530298219,84.0,0.07899691597789896,0.1506849315068493,East Harlem,Manhattan,40.78778,-73.94759,Private room in rental unit,Private room,1.0,1.0,2.0,2.0,84.0,30.0,120.0,0.0,100.0,80.0,1.0,6.0,0.0,249.0,5.0,0.0,1.29,4.88,4.83,4.95,4.85,4.83,255.0,21420.0,1.0,1.0,5986.0,5817.0,127.0,2.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,0.0,0.0,0.0,c3
7064,0,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,Williamsburg,Brooklyn,40.71248,-73.95881,Private room in loft,Private room,2.0,,1.0,,,30.0,45.0,0.0,100.0,0.0,2.0,2.0,0.0,13.0,0.0,0.0,0.07,4.91,5.0,4.91,5.0,5.0,0.0,,1.0,1.0,5983.0,5524.0,1115.0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,7.0,0.0,0.0,0.0,0.0,c9
7097,0,3.0,83.0,91.0,9.0,0.03296703296703297,0.9120879120879121,0.0,3.0,0.0,0.0,0.0,224.33333333333334,16.19670748434179,243.0,0.07219929042054289,0.125,Fort Greene,Brooklyn,40.69194,-73.97389,Private room in guest suite,Private room,2.0,1.0,1.0,2.0,243.0,2.0,1125.0,1.0,100.0,100.0,2.0,2.0,1.0,417.0,35.0,0.0,2.19,4.89,4.91,4.89,4.95,4.82,255.0,61965.0,0.0,1.0,5981.0,5737.0,61.0,2.0,121.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,8.0,0.0,0.0,0.0,0.0,c8
7801,0,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,283.3333333333333,106.80979980008077,345.0,0.3769757640002851,1.15625,Williamsburg,Brooklyn,40.71880722045898,-73.9561767578125,Entire place,Entire home/apt,2.0,1.0,0.0,1.0,345.0,30.0,120.0,1.0,100.0,96.0,4.0,4.0,0.0,12.0,0.0,0.0,0.06,4.91,4.78,4.67,5.0,4.89,0.0,0.0,1.0,1.0,5955.0,5897.0,427.0,1.0,172.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,5.0,0.0,0.0,0.0,0.0,c9
8490,25,10.0,80.0,91.0,10.0,0.10989010989010989,0.8791208791208791,0.0,0.0,10.0,10.0,10.0,170.0,0.0,170.0,0.0,0.0,Bedford-Stuyvesant,Brooklyn,40.68455584344908,-73.93963415175676,Entire loft,Entire home/apt,5.0,1.0,1.0,4.0,170.0,30.0,1125.0,0.0,,,2.0,3.0,0.0,189.0,0.0,0.0,0.97,4.77,4.83,4.74,4.67,4.76,0.0,0.0,1.0,1.0,5927.0,5881.0,716.0,4.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,5.0,0.0,1.0,0.0,0.0,c8
9357,30,3.0,42.0,91.0,3.0,0.03296703296703297,0.46153846153846156,0.0,3.0,0.0,0.0,0.0,175.0,0.0,175.0,0.0,0.0,Hell's Kitchen,Manhattan,40.76724,-73.98664,Entire rental unit,Entire home/apt,2.0,1.0,,1.0,175.0,30.0,120.0,0.0,,0.0,1.0,1.0,0.0,58.0,0.0,0.0,0.3,4.52,4.68,4.16,4.95,4.58,0.0,0.0,1.0,1.0,5900.0,5841.0,2971.0,1.0,87.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,1.0,0.0,0.0,c0
10452,1,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,90.0,0.0,0.0,Bedford-Stuyvesant,Brooklyn,40.68294,-73.95682,Private room in rental unit,Private room,2.0,1.0,1.0,2.0,90.0,30.0,730.0,1.0,75.0,73.0,6.0,6.0,0.0,82.0,1.0,0.0,0.44,4.66,4.5,4.62,4.42,4.67,60.0,5400.0,1.0,1.0,5872.0,5645.0,184.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,0.0,c8
