column,dtype,non_null_%,example_or_stats
listing_id,int64,100.0,min=2539.00 | mean=495198146663244288.00 | max=1598134939144730880.00
y_booked_q1_2026,int32,100.0,min=0.00 | mean=14.42 | max=90.00
q3_booked,float64,97.5,min=0.00 | mean=7.06 | max=60.00
q3_occupied,float64,97.5,min=0.00 | mean=60.30 | max=92.00
q3_obs_days,float64,97.5,min=21.00 | mean=89.16 | max=92.00
q3_changes,float64,97.5,min=0.00 | mean=8.13 | max=60.00
q3_booking_rate,float64,97.5,min=0.00 | mean=0.08 | max=0.66
q3_occ_rate,float64,97.5,min=0.00 | mean=0.67 | max=1.00
booked_m10,float64,97.5,min=0.00 | mean=0.00 | max=0.00
booked_m11,float64,97.5,min=0.00 | mean=2.97 | max=29.00
booked_m12,float64,97.5,min=0.00 | mean=4.09 | max=31.00
recency_booked_sep,float64,97.5,min=0.00 | mean=4.09 | max=31.00
trend_sep_minus_jul,float64,97.5,min=0.00 | mean=4.09 | max=31.00
lst_price_mean,float64,59.2,min=10.00 | mean=689.35 | max=50104.00
lst_price_std,float64,49.4,min=0.00 | mean=37.11 | max=35207.55
lst_price_last,float64,0.0,min=nan | mean=nan | max=nan
lst_price_cv,float64,49.4,min=0.00 | mean=0.07 | max=1.40
lst_price_change,float64,0.0,min=nan | mean=nan | max=nan
neighbourhood_cleansed,str,97.0,Bedford-Stuyvesant | Williamsburg | Midtown
neighbourhood_group_cleansed,str,97.0,Manhattan | Brooklyn | Queens
latitude,float64,97.0,min=40.50 | mean=40.73 | max=40.91
longitude,float64,97.0,min=-74.25 | mean=-73.95 | max=-73.71
property_type,str,97.0,Entire rental unit | Private room in rental unit | Private room in home
room_type,str,97.0,Entire home/apt | Private room | Hotel room
accommodates,float64,97.0,min=1.00 | mean=2.75 | max=16.00
bathrooms,float64,56.5,min=0.00 | mean=1.20 | max=15.50
bedrooms,float64,80.5,min=0.00 | mean=1.38 | max=16.00
beds,float64,56.3,min=0.00 | mean=1.62 | max=40.00
price,float64,0.0,min=nan | mean=nan | max=nan
minimum_nights,float64,97.0,min=1.00 | mean=28.61 | max=1124.00
maximum_nights,float64,97.0,min=1.00 | mean=61605.13 | max=2147483647.00
host_is_superhost,float64,97.0,min=0.00 | mean=0.19 | max=1.00
host_response_rate,float64,55.6,min=0.00 | mean=91.08 | max=100.00
host_acceptance_rate,float64,57.1,min=0.00 | mean=75.48 | max=100.00
host_listings_count,float64,96.9,min=0.00 | mean=281.48 | max=5531.00
host_total_listings_count,float64,96.9,min=1.00 | mean=380.31 | max=10047.00
instant_bookable,float64,97.0,min=0.00 | mean=0.21 | max=1.00
number_of_reviews,float64,97.0,min=0.00 | mean=27.42 | max=3920.00
number_of_reviews_ltm,float64,97.0,min=0.00 | mean=3.83 | max=1565.00
number_of_reviews_l30d,float64,97.0,min=0.00 | mean=0.27 | max=74.00
reviews_per_month,float64,67.0,min=0.01 | mean=0.80 | max=120.37
review_scores_rating,float64,67.0,min=0.00 | mean=4.72 | max=5.00
review_scores_accuracy,float64,67.0,min=0.00 | mean=4.76 | max=5.00
review_scores_cleanliness,float64,67.0,min=0.00 | mean=4.66 | max=5.00
review_scores_location,float64,67.0,min=0.00 | mean=4.74 | max=5.00
review_scores_value,float64,67.0,min=0.00 | mean=4.63 | max=5.00
estimated_occupancy_l365d,float64,97.0,min=0.00 | mean=46.06 | max=255.00
estimated_revenue_l365d,float64,0.0,min=nan | mean=nan | max=nan
license_missing,float64,97.0,min=0.00 | mean=0.86 | max=1.00
has_reviews,float64,97.0,min=0.00 | mean=0.69 | max=1.00
host_age_days,float64,96.9,min=30.00 | mean=3188.97 | max=6352.00
days_since_first_review,float64,67.0,min=25.00 | mean=1995.31 | max=6065.00
days_since_last_review,float64,67.0,min=24.00 | mean=1070.84 | max=5348.00
bed_bath_ratio,float64,55.8,min=0.00 | mean=1.40 | max=12.00
price_per_person,float64,0.0,min=nan | mean=nan | max=nan
kw_luxury,float64,97.0,min=0.00 | mean=0.06 | max=1.00
kw_private,float64,97.0,min=0.00 | mean=0.28 | max=1.00
kw_cozy,float64,97.0,min=0.00 | mean=0.17 | max=1.00
kw_modern,float64,97.0,min=0.00 | mean=0.14 | max=1.00
kw_spacious,float64,97.0,min=0.00 | mean=0.18 | max=1.00
kw_view,float64,97.0,min=0.00 | mean=0.12 | max=1.00
kw_near,float64,97.0,min=0.00 | mean=0.17 | max=1.00
kw_studio,float64,97.0,min=0.00 | mean=0.12 | max=1.00
title_len,float64,97.0,min=0.00 | mean=36.87 | max=154.00
title_words,float64,97.0,min=0.00 | mean=6.18 | max=27.00
review_scores_rating_missing,float64,97.0,min=0.00 | mean=0.31 | max=1.00
host_response_rate_missing,float64,97.0,min=0.00 | mean=0.43 | max=1.00
reviews_per_month_missing,float64,97.0,min=0.00 | mean=0.31 | max=1.00
estimated_occupancy_l365d_missing,float64,97.0,min=0.00 | mean=0.00 | max=0.00
geo_cluster,str,97.0,c1 | c9 | c7
prev_booked,float64,92.3,min=0.00 | mean=8.58 | max=60.00
prev_occupied,float64,92.3,min=0.00 | mean=62.33 | max=92.00
prev_obs_days,float64,92.3,min=29.00 | mean=89.58 | max=92.00
prev_changes,float64,92.3,min=0.00 | mean=9.56 | max=60.00
prev_booking_rate,float64,92.3,min=0.00 | mean=0.10 | max=0.66
prev_occ_rate,float64,92.3,min=0.00 | mean=0.69 | max=1.00
prev_booked_m07,float64,92.3,min=0.00 | mean=0.00 | max=0.00
prev_booked_m08,float64,92.3,min=0.00 | mean=3.09 | max=30.00
prev_booked_m09,float64,92.3,min=0.00 | mean=5.49 | max=30.00
