listing_id,y_booked_q1_2026,q3_booked,q3_occupied,q3_obs_days,q3_changes,q3_booking_rate,q3_occ_rate,booked_m10,booked_m11,booked_m12,recency_booked_sep,trend_sep_minus_jul,lst_price_mean,lst_price_std,lst_price_last,lst_price_cv,lst_price_change,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,host_is_superhost,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,instant_bookable,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,estimated_occupancy_l365d,estimated_revenue_l365d,license_missing,has_reviews,host_age_days,days_since_first_review,days_since_last_review,bed_bath_ratio,price_per_person,kw_luxury,kw_private,kw_cozy,kw_modern,kw_spacious,kw_view,kw_near,kw_studio,title_len,title_words,review_scores_rating_missing,host_response_rate_missing,reviews_per_month_missing,estimated_occupancy_l365d_missing,geo_cluster,prev_booked,prev_occupied,prev_obs_days,prev_changes,prev_booking_rate,prev_occ_rate,prev_booked_m07,prev_booked_m08,prev_booked_m09,prev_trend,prev_price_mean,prev_price_std,prev_price_cv,prev_price_change,qoq_booked_change,qoq_booking_rate_change,qoq_occ_rate_change,qoq_booked_ratio,qoq_price_change,h1_booked_total,h1_occ_rate
2539,0,0.0,1.0,60.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,,,,,,Kensington,Brooklyn,40.64529,-73.97238,Private room in condo,Private room,2.0,,1.0,,,30.0,730.0,0.0,100.0,79.0,7.0,13.0,0.0,9.0,0.0,0.0,0.07,4.89,4.88,5.0,4.75,4.88,0.0,,1.0,1.0,6325.0,3681.0,2631.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,9.0,0.0,0.0,0.0,0.0,c0,,,,,,,,,,,,,,,,,,,,0.0,0.01639344262295082
2595,0,0.0,30.0,91.0,0.0,0.0,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,240.0,0.0,,0.0,,Midtown,Manhattan,40.75356,-73.98559,Entire rental unit,Entire home/apt,1.0,1.0,0.0,1.0,,30.0,1125.0,0.0,60.0,26.0,7.0,9.0,0.0,47.0,0.0,0.0,0.24,4.68,4.73,4.63,4.81,4.4,0.0,,1.0,1.0,6323.0,5885.0,1290.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,49.0,7.0,0.0,0.0,0.0,0.0,c1,29.0,60.0,91.0,36.0,0.31868131868131866,0.6593406593406593,0.0,0.0,29.0,29.0,240.66666666666666,1.1547005383792515,0.004797924674706031,-0.008264462809917356,-29.0,-0.31868131868131866,-0.32967032967032966,0.0,-0.0027700831024930483,29.0,0.4918032786885246
6848,68,6.0,84.0,91.0,8.0,0.06593406593406594,0.9230769230769231,0.0,0.0,6.0,6.0,6.0,117.5,30.405591591021544,,0.2587709922640131,,Williamsburg,Brooklyn,40.70935,-73.95342,Entire rental unit,Entire home/apt,3.0,1.0,2.0,1.0,,30.0,240.0,1.0,100.0,100.0,1.0,1.0,0.0,197.0,4.0,1.0,0.98,4.6,4.6,4.85,4.69,4.59,240.0,,1.0,1.0,6084.0,6065.0,45.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,6.0,0.0,0.0,0.0,0.0,c9,2.0,77.0,91.0,12.0,0.02197802197802198,0.8461538461538461,0.0,0.0,2.0,2.0,96.66666666666667,1.1547005383792517,0.011945177983233638,0.0,4.0,0.04395604395604395,0.07692307692307698,2.0,0.21551724137931028,8.0,0.8797814207650273
6872,0,13.0,20.0,91.0,14.0,0.14285714285714285,0.21978021978021978,0.0,7.0,6.0,6.0,6.0,59.0,0.0,,0.0,,East Harlem,Manhattan,40.80107,-73.94255,Private room in condo,Private room,1.0,1.0,1.0,1.0,,30.0,180.0,0.0,70.0,33.0,2.0,2.0,0.0,2.0,1.0,0.0,0.05,5.0,5.0,5.0,5.0,5.0,60.0,,1.0,1.0,6083.0,1306.0,86.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,8.0,0.0,0.0,0.0,0.0,c8,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0,,,,13.0,0.14285714285714285,-0.7802197802197802,13.0,0.0,13.0,0.6065573770491803
6990,65,27.0,86.0,91.0,27.0,0.2967032967032967,0.945054945054945,0.0,0.0,27.0,27.0,27.0,73.0,0.0,,0.0,,East Harlem,Manhattan,40.78778,-73.94759,Private room in rental unit,Private room,1.0,1.0,2.0,2.0,,30.0,120.0,0.0,100.0,100.0,1.0,6.0,0.0,250.0,3.0,1.0,1.27,4.88,4.83,4.95,4.85,4.83,180.0,,1.0,1.0,6078.0,5909.0,44.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,0.0,0.0,0.0,c8,0.0,78.0,91.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,77.0,6.082762530298219,0.07899691597789896,0.1506849315068493,27.0,0.2967032967032967,0.08791208791208793,27.0,-0.051948051948051965,27.0,0.8961748633879781
7064,0,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,Williamsburg,Brooklyn,40.71248,-73.95881,Private room in loft,Private room,2.0,,1.0,,,30.0,45.0,0.0,0.0,0.0,2.0,2.0,0.0,13.0,0.0,0.0,0.07,4.91,5.0,4.91,5.0,5.0,0.0,,1.0,1.0,6075.0,5616.0,1207.0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,7.0,0.0,0.0,0.0,0.0,c9,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.994535519125683
7097,0,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,,0.0,,Fort Greene,Brooklyn,40.69194,-73.97389,Private room in guest suite,Private room,2.0,,,,,2.0,1125.0,1.0,100.0,100.0,2.0,3.0,1.0,423.0,31.0,0.0,2.19,4.89,4.91,4.89,4.95,4.82,255.0,,0.0,1.0,6073.0,5829.0,100.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,8.0,0.0,0.0,0.0,0.0,c9,3.0,83.0,91.0,9.0,0.03296703296703297,0.9120879120879121,0.0,3.0,0.0,0.0,224.33333333333334,16.19670748434179,0.07219929042054289,0.125,-3.0,-0.03296703296703297,0.08791208791208793,0.0,-0.03714710252600306,3.0,0.9508196721311475
60611,0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,,0.0,,East Harlem,Manhattan,40.792667388916016,-73.946533203125,Entire rental unit,Entire home/apt,2.0,1.0,1.0,1.0,,30.0,60.0,1.0,100.0,100.0,4.0,4.0,0.0,197.0,1.0,0.0,1.11,4.84,4.85,4.95,4.6,4.8,60.0,,1.0,1.0,5522.0,5368.0,152.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,4.0,0.0,0.0,0.0,0.0,c8,5.0,36.0,91.0,5.0,0.054945054945054944,0.3956043956043956,0.0,5.0,0.0,0.0,125.0,0.0,0.0,0.0,-5.0,-0.054945054945054944,-0.3956043956043956,0.0,0.0,5.0,0.19672131147540983
60666,0,53.0,91.0,91.0,53.0,0.5824175824175825,1.0,0.0,23.0,30.0,30.0,30.0,60.0,,,,,Harlem,Manhattan,40.81006,-73.94559,Private room in rental unit,Private room,2.0,1.5,1.0,2.0,,30.0,90.0,0.0,100.0,89.0,4.0,9.0,0.0,283.0,2.0,0.0,1.56,4.72,4.76,4.7,4.5,4.66,120.0,,1.0,1.0,5565.0,5477.0,93.0,1.3333333333333333,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,6.0,0.0,0.0,0.0,0.0,c11,34.0,86.0,91.0,35.0,0.37362637362637363,0.945054945054945,0.0,5.0,29.0,29.0,60.0,0.0,0.0,0.0,19.0,0.20879120879120883,0.05494505494505497,1.5142857142857142,0.0,87.0,0.9672131147540983
60673,0,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,Harlem,Manhattan,40.81562,-73.94674,Private room in rental unit,Private room,2.0,,,,,30.0,365.0,0.0,,,1.0,1.0,0.0,3.0,0.0,0.0,0.03,5.0,4.67,4.67,4.67,4.67,0.0,,1.0,1.0,5572.0,2643.0,2265.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,0.0,1.0,0.0,0.0,c11,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.994535519125683
