column,dtype,non_null_%,example_or_stats
listing_id,int64,100.0,min=2539.00 | mean=495198146663244288.00 | max=1598134939144730880.00
hq3_booked,float64,92.3,min=0.00 | mean=8.58 | max=60.00
hq3_occupied,float64,92.3,min=0.00 | mean=62.33 | max=92.00
hq3_obs_days,float64,92.3,min=29.00 | mean=89.58 | max=92.00
hq3_changes,float64,92.3,min=0.00 | mean=9.56 | max=60.00
hq3_booking_rate,float64,92.3,min=0.00 | mean=0.10 | max=0.66
hq3_occ_rate,float64,92.3,min=0.00 | mean=0.69 | max=1.00
hq4_booked,float64,97.5,min=0.00 | mean=7.06 | max=60.00
hq4_occupied,float64,97.5,min=0.00 | mean=60.30 | max=92.00
hq4_obs_days,float64,97.5,min=21.00 | mean=89.16 | max=92.00
hq4_changes,float64,97.5,min=0.00 | mean=8.13 | max=60.00
hq4_booking_rate,float64,97.5,min=0.00 | mean=0.08 | max=0.66
hq4_occ_rate,float64,97.5,min=0.00 | mean=0.67 | max=1.00
hjan_booked,int64,100.0,min=0.00 | mean=4.04 | max=31.00
hjan_occ,int64,100.0,min=0.00 | mean=17.38 | max=31.00
hjan_obs,int64,100.0,min=16.00 | mean=30.65 | max=31.00
hjan_booking_rate,float64,100.0,min=0.00 | mean=0.13 | max=1.00
h7_booked_total,float64,100.0,min=0.00 | mean=18.85 | max=151.00
trend_q4_q3,float64,92.3,min=-0.66 | mean=-0.02 | max=0.66
trend_jan_q4,float64,97.5,min=-0.66 | mean=0.06 | max=1.00
momentum,float64,92.3,min=-0.66 | mean=0.03 | max=1.00
recency_booking_rate,float64,100.0,min=0.00 | mean=0.13 | max=1.00
neighbourhood_cleansed,str,100.0,Bedford-Stuyvesant | Williamsburg | Midtown
neighbourhood_group_cleansed,str,100.0,Manhattan | Brooklyn | Queens
latitude,float64,100.0,min=40.50 | mean=40.73 | max=40.91
longitude,float64,100.0,min=-74.25 | mean=-73.95 | max=-73.71
property_type,str,100.0,Entire rental unit | Private room in rental unit | Private room in home
room_type,str,100.0,Entire home/apt | Private room | Hotel room
accommodates,int64,100.0,min=1.00 | mean=2.75 | max=16.00
bathrooms,float64,60.2,min=0.00 | mean=1.20 | max=15.50
bedrooms,float64,83.8,min=0.00 | mean=1.37 | max=16.00
beds,float64,59.9,min=0.00 | mean=1.62 | max=40.00
minimum_nights,float64,100.0,min=0.00 | mean=28.38 | max=1124.00
maximum_nights,float64,100.0,min=1.00 | mean=1125663.40 | max=2147483647.00
host_is_superhost,int8,100.0,min=0.00 | mean=0.19 | max=1.00
host_response_rate,float64,0.0,min=nan | mean=nan | max=nan
host_acceptance_rate,float64,0.0,min=nan | mean=nan | max=nan
host_listings_count,float64,98.6,min=0.00 | mean=280.48 | max=5539.00
host_total_listings_count,float64,0.0,min=nan | mean=nan | max=nan
instant_bookable,int8,100.0,min=0.00 | mean=0.00 | max=0.00
number_of_reviews,int64,100.0,min=0.00 | mean=27.36 | max=4095.00
number_of_reviews_ltm,int64,100.0,min=0.00 | mean=3.84 | max=1537.00
number_of_reviews_l30d,int64,100.0,min=0.00 | mean=0.28 | max=108.00
reviews_per_month,float64,68.8,min=0.01 | mean=0.79 | max=120.56
review_scores_rating,float64,68.8,min=0.00 | mean=4.72 | max=5.00
review_scores_accuracy,float64,68.8,min=0.00 | mean=4.76 | max=5.00
review_scores_cleanliness,float64,68.8,min=0.00 | mean=4.65 | max=5.00
review_scores_location,float64,68.8,min=0.00 | mean=4.74 | max=5.00
review_scores_value,float64,68.8,min=0.00 | mean=4.63 | max=5.00
estimated_occupancy_l365d,int64,100.0,min=0.00 | mean=45.54 | max=255.00
estimated_revenue_l365d,float64,0.0,min=nan | mean=nan | max=nan
license_missing,int8,100.0,min=0.00 | mean=0.86 | max=1.00
has_reviews,int8,100.0,min=0.00 | mean=0.69 | max=1.00
host_age_days,float64,0.0,min=nan | mean=nan | max=nan
days_since_first_review,float64,68.8,min=18.00 | mean=1996.77 | max=6096.00
days_since_last_review,float64,68.8,min=17.00 | mean=1063.27 | max=5379.00
bed_bath_ratio,float64,59.2,min=0.00 | mean=1.40 | max=12.00
kw_luxury,int8,100.0,min=0.00 | mean=0.06 | max=1.00
kw_private,int8,100.0,min=0.00 | mean=0.28 | max=1.00
kw_cozy,int8,100.0,min=0.00 | mean=0.17 | max=1.00
kw_modern,int8,100.0,min=0.00 | mean=0.14 | max=1.00
kw_spacious,int8,100.0,min=0.00 | mean=0.18 | max=1.00
kw_view,int8,100.0,min=0.00 | mean=0.11 | max=1.00
kw_near,int8,100.0,min=0.00 | mean=0.17 | max=1.00
kw_studio,int8,100.0,min=0.00 | mean=0.12 | max=1.00
title_len,int32,100.0,min=0.00 | mean=36.98 | max=154.00
title_words,int32,100.0,min=0.00 | mean=6.20 | max=27.00
review_scores_rating_missing,int8,100.0,min=0.00 | mean=0.31 | max=1.00
host_response_rate_missing,int8,100.0,min=1.00 | mean=1.00 | max=1.00
reviews_per_month_missing,int8,100.0,min=0.00 | mean=0.31 | max=1.00
estimated_occupancy_l365d_missing,int8,100.0,min=0.00 | mean=0.00 | max=0.00
geo_cluster,str,100.0,c11 | c8 | c7
rev_total,float64,68.8,min=1.00 | mean=39.77 | max=4095.00
rev_90,float64,68.8,min=0.00 | mean=1.13 | max=235.00
rev_365,float64,68.8,min=0.00 | mean=5.41 | max=1473.00
rev_recency_days,float64,68.8,min=17.00 | mean=1063.27 | max=5379.00
y_clean,int32,100.0,min=0.00 | mean=19.22 | max=89.00
