listing_id,hq3_booked,hq3_occupied,hq3_obs_days,hq3_changes,hq3_booking_rate,hq3_occ_rate,hq4_booked,hq4_occupied,hq4_obs_days,hq4_changes,hq4_booking_rate,hq4_occ_rate,hjan_occ,hjan_obs,hjan_booking_rate,h7_booked_total,trend_q4_q3,trend_jan_q4,momentum,recency_booking_rate,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,host_is_superhost,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,instant_bookable,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,estimated_occupancy_l365d,estimated_revenue_l365d,license_missing,has_reviews,host_age_days,days_since_first_review,days_since_last_review,bed_bath_ratio,kw_luxury,kw_private,kw_cozy,kw_modern,kw_spacious,kw_view,kw_near,kw_studio,title_len,title_words,review_scores_rating_missing,host_response_rate_missing,reviews_per_month_missing,estimated_occupancy_l365d_missing,geo_cluster,rev_total,rev_90,rev_365,rev_recency_days,y_clean,traj_slope,traj_recent3,traj_older3,traj_recent_older_ratio,traj_accel,traj_std,traj_max,traj_nonzero_months,traj_last
2539,,,,,,,0.0,1.0,60.0,0.0,0.0,0.016666666666666666,0,31,0.0,0.0,,0.0,,0.0,Kensington,Brooklyn,40.64529,-73.97238,Private room in condo,Private room,2,1.0,1.0,1.0,30.0,730.0,0,,,6.0,,0,9,0,0,0.07,4.89,4.88,5.0,4.75,4.88,0,,1,1,,3712.0,2662.0,1.0,0,0,0,0,0,0,0,0,48,9,0,1,0,0,c3,9.0,0.0,0.0,2662.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2595,29.0,60.0,91.0,36.0,0.31868131868131866,0.6593406593406593,0.0,30.0,91.0,0.0,0.0,0.32967032967032966,0,31,0.0,29.0,-0.31868131868131866,0.0,-0.31868131868131866,0.0,Midtown,Manhattan,40.75356,-73.98559,Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,30.0,1125.0,0,,,7.0,,0,47,0,0,0.24,4.68,4.73,4.63,4.81,4.4,0,,1,1,,5916.0,1321.0,1.0,0,0,0,0,1,0,0,1,49,7,0,1,0,0,c11,47.0,0.0,0.0,1321.0,0,-1.0357142857142858,0.0,9.666666666666666,0.0,0.0,10.147886077244594,29.0,1,0.0
6848,2.0,77.0,91.0,12.0,0.02197802197802198,0.8461538461538461,6.0,84.0,91.0,8.0,0.06593406593406594,0.9230769230769231,14,31,0.45161290322580644,22.0,0.04395604395604395,0.3856788372917405,0.4296348812477845,0.45161290322580644,Williamsburg,Brooklyn,40.70935,-73.95342,Entire rental unit,Entire home/apt,3,1.0,2.0,1.0,30.0,240.0,1,,,1.0,,0,197,4,0,0.97,4.6,4.6,4.85,4.69,4.59,240,,1,1,,6096.0,76.0,1.0,0,0,0,0,0,0,0,1,32,6,0,1,0,0,c1,197.0,1.0,4.0,76.0,76,1.8571428571428572,6.666666666666667,0.6666666666666666,4.000000000000001,8.0,4.882287854467161,14.0,3,14.0
6872,0.0,91.0,91.0,0.0,0.0,1.0,13.0,20.0,91.0,14.0,0.14285714285714285,0.21978021978021978,7,31,0.0,13.0,0.14285714285714285,-0.14285714285714285,0.0,0.0,East Harlem,Manhattan,40.80107,-73.94255,Private room in condo,Private room,1,1.0,1.0,1.0,30.0,180.0,0,,,2.0,,0,2,1,0,0.05,5.0,5.0,5.0,5.0,5.0,60,,1,1,,1337.0,117.0,1.0,0,1,0,0,1,0,0,0,49,8,0,1,0,0,c0,2.0,0.0,1.0,117.0,20,0.6785714285714286,4.333333333333333,0.0,4.333333333333333,-6.0,2.948538205792899,7.0,2,0.0
6990,0.0,78.0,91.0,0.0,0.0,0.8571428571428571,27.0,86.0,91.0,27.0,0.2967032967032967,0.945054945054945,31,31,1.0,58.0,0.2967032967032967,0.7032967032967032,1.0,1.0,East Harlem,Manhattan,40.78778,-73.94759,Private room in rental unit,Private room,1,1.0,2.0,2.0,30.0,120.0,1,,,1.0,,0,251,4,1,1.27,4.88,4.83,4.95,4.85,4.84,240,,1,1,,5940.0,21.0,2.0,0,0,0,0,0,0,0,0,23,4,0,1,0,0,c0,251.0,2.0,4.0,21.0,89,5.25,19.333333333333332,0.0,19.333333333333332,4.0,13.144409846169651,31.0,2,31.0
7064,0.0,91.0,91.0,0.0,0.0,1.0,0.0,91.0,91.0,0.0,0.0,1.0,31,31,0.0,0.0,0.0,0.0,0.0,0.0,Williamsburg,Brooklyn,40.71248,-73.95881,Private room in loft,Private room,2,,1.0,,30.0,45.0,0,,,2.0,,0,13,0,0,0.07,4.91,5.0,4.91,5.0,5.0,0,,1,1,,5647.0,1238.0,,0,1,0,0,1,0,0,0,49,7,0,1,0,0,c1,13.0,0.0,0.0,1238.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
7097,3.0,83.0,91.0,9.0,0.03296703296703297,0.9120879120879121,0.0,91.0,91.0,0.0,0.0,1.0,31,31,0.0,3.0,-0.03296703296703297,0.0,-0.03296703296703297,0.0,Fort Greene,Brooklyn,40.69194,-73.97389,Private room in guest suite,Private room,2,1.0,1.0,2.0,2.0,1125.0,1,,,2.0,,0,423,26,0,2.17,4.89,4.91,4.89,4.95,4.82,255,,0,1,,5860.0,131.0,2.0,0,0,0,0,1,0,0,0,45,8,0,1,0,0,c7,423.0,0.0,26.0,131.0,0,-0.21428571428571427,0.0,1.0,0.0,0.0,1.049781318335648,3.0,1,0.0
60611,5.0,36.0,91.0,5.0,0.054945054945054944,0.3956043956043956,0.0,0.0,91.0,0.0,0.0,0.0,0,31,0.0,5.0,-0.054945054945054944,0.0,-0.054945054945054944,0.0,East Harlem,Manhattan,40.792667388916016,-73.946533203125,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,30.0,1125.0,1,,,4.0,,0,197,1,0,1.1,4.84,4.85,4.95,4.6,4.8,60,,1,1,,5399.0,183.0,1.0,0,1,0,0,0,0,0,1,27,4,0,1,0,0,c0,197.0,0.0,1.0,183.0,34,-0.35714285714285715,0.0,1.6666666666666667,0.0,0.0,1.7496355305594131,5.0,1,0.0
60666,34.0,86.0,91.0,35.0,0.37362637362637363,0.945054945054945,53.0,91.0,91.0,53.0,0.5824175824175825,1.0,7,31,0.0,87.0,0.20879120879120883,-0.5824175824175825,-0.37362637362637363,0.0,Harlem,Manhattan,40.81006,-73.94559,Private room in rental unit,Private room,2,1.5,1.0,2.0,30.0,90.0,0,,,4.0,,0,283,2,0,1.55,4.72,4.76,4.7,4.5,4.66,120,,1,1,,5508.0,124.0,1.3333333333333333,1,1,0,0,1,0,0,0,32,6,0,1,0,0,c0,283.0,0.0,2.0,124.0,26,1.5714285714285714,17.666666666666668,11.333333333333334,1.4324324324324325,-30.0,13.167678424917614,30.0,4,0.0
60673,0.0,91.0,91.0,0.0,0.0,1.0,0.0,91.0,91.0,0.0,0.0,1.0,31,31,0.0,0.0,0.0,0.0,0.0,0.0,Harlem,Manhattan,40.81562,-73.94674,Private room in rental unit,Private room,2,,,,30.0,365.0,0,,,1.0,,0,3,0,0,0.03,5.0,4.67,4.67,4.67,4.67,0,,1,1,,2674.0,2296.0,,0,1,0,0,0,0,0,0,34,4,0,1,0,0,c0,3.0,0.0,0.0,2296.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
