column,dtype,non_null_%,example_or_stats
id,int64,100.0,min=2539.00 | mean=459318475310361664.00 | max=1500162562723746560.00
listing_url,str,100.0,https://www.airbnb.com/rooms/2539 | https://www.airbnb.com/rooms/2595 | https://www.airbnb.com/rooms/6848
scrape_id,int64,100.0,min=20250901181232.00 | mean=20250901181232.00 | max=20250901181232.00
last_scraped,str,100.0,2025-09-02 | 2025-09-03
source,str,100.0,city scrape | previous scrape
name,str,100.0,"Water View King Bed Hotel Room | Private bedroom -3 mins to shopping center | Cozy room@Queens! Same area W/Target,Costco"
description,str,97.4,You'll have a great time at this comfortable place to stay. | Keep it simple at this peaceful and centrally-located place. | Unique opportunity to live in the heart of New York City! Location is everything and this historic property is 1 block away from the most iconic location in all of New York : Times Square!
neighborhood_overview,str,52.1,"This furnished apartment is located in Midtown East. This bustling neighborhood is home to NYC landmarks like the Empire State Building, the United Nations' headquarters, and Grand Central Station. Midtown East is also home to a thriving dining scene, with everything from humble food carts selling hotdogs to white-tablecloth restaurants with multiple Michelin stars. There are also many cultural attractions, including the Museum of Modern Art, the lovely Japan Society, the historic Morgan Library, and more. Midtown East is also home to some incredible shopping, from the international flagship stores along Fifth Avenue to Bloomingdale's, one of the city's best-loved department stores. | This furnished apartment is located in the Financial District, also known as FiDi. Home to Wall Street, One World Trade Center, the South Street Seaport, and Bowling Green it is a constant hub of activity. During the week the sidewalk is always bustling and the restaurants are filled with professionals. The glittering skyscrapers and well-known landmarks make this one of the city’s most recognizable and historic neighborhoods. By subway, Times Square is about 20 minutes away. | This furnished rental is located in the West Village. Cute storefronts and some cobblestone streets give the charming neighborhood the feel of a quaint small town. Populated with shoppers, diners and art lovers. The historically artistic area has numerous piano bars, cabarets, and theaters to discover. Both Times Square and Wall Street are just 15 minutes away by subway."
picture_url,str,100.0,https://a0.muscache.com/pictures/6998e77e-4564-49e8-b652-61c90e84ee65.jpg | https://a0.muscache.com/pictures/miso/Hosting-1006416060412152707/original/2326cb35-5479-4683-b294-5c7b3c0dbaff.jpeg | https://a0.muscache.com/pictures/dc129afb-e2fc-42ea-8392-217917f247a0.jpg
host_id,int64,100.0,min=1678.00 | mean=174598425.94 | max=716108254.00
