column,dtype,non_null_%,example_or_stats
id,int64,100.0,min=2539.00 | mean=495198146663244288.00 | max=1598134939144730880.00
listing_url,str,100.0,https://www.airbnb.com/rooms/2539 | https://www.airbnb.com/rooms/2595 | https://www.airbnb.com/rooms/6848
scrape_id,int64,100.0,min=20260115062836.00 | mean=20260115062836.00 | max=20260115062836.00
last_scraped,str,100.0,2026-01-15 | 2026-01-16
source,str,100.0,city scrape | previous scrape
name,str,100.0,"Water View King Bed Hotel Room | Private bedroom -3 mins to shopping center | Cozy room@Queens! Same area W/Target,Costco"
description,str,96.0,You'll have a great time at this comfortable place to stay. | Unique opportunity to live in the heart of New York City! Location is everything and this historic property is 1 block away from the most iconic location in all of New York : Times Square! | Keep it simple at this peaceful and centrally-located place.
neighborhood_overview,float64,0.0,min=nan | mean=nan | max=nan
picture_url,str,100.0,https://a0.muscache.com/pictures/6998e77e-4564-49e8-b652-61c90e84ee65.jpg | https://a0.muscache.com/pictures/hosting/Hosting-1498046003133858304/original/699fc415-a0da-4186-9189-ed82ada1b5d7.jpeg | https://a0.muscache.com/pictures/dc129afb-e2fc-42ea-8392-217917f247a0.jpg
host_id,int64,100.0,min=1678.00 | mean=179832576.95 | max=739406040.00
host_url,str,100.0,https://www.airbnb.com/users/show/107434423 | https://www.airbnb.com/users/show/3223938 | https://www.airbnb.com/users/show/446820235
host_profile_id,float64,98.6,min=1462506270716056832.00 | mean=1466648004911382272.00 | max=1598075775741480192.00
host_profile_url,str,98.6,https://www.airbnb.com/users/profile/1462889176402806013 | https://www.airbnb.com/users/profile/1462528619258968097 | https://www.airbnb.com/users/profile/1463723014928495353
host_name,str,98.6,Blueground | Eugene | Michael
host_since,float64,0.0,min=nan | mean=nan | max=nan
hosts_time_as_user_years,float64,98.6,min=0.00 | mean=8.33 | max=17.00
hosts_time_as_user_months,float64,98.6,min=0.00 | mean=5.23 | max=11.00
hosts_time_as_host_years,float64,98.6,min=0.00 | mean=6.77 | max=15.00
hosts_time_as_host_months,float64,98.6,min=0.00 | mean=4.83 | max=11.00
host_location,str,78.5,"New York, NY | New York, United States | United States"
host_about,str,56.3,"Blueground is the world’s largest operator of fully furnished, move-in-ready apartments for flexible stays. Our professionally designed homes include fully equipped kitchens, fast Wi-Fi, premium linens, and smart entertainment, with access to gyms, pools, or outdoor spaces in select buildings. Enjoy instant online booking, simple self-check-in, and 24/7 support through the Blueground Guest App. Feel at home anywhere. | my number: (Phone number hidden by Airbnb) , my email: (Email hidden by Airbnb) | Great working experience in hospitality, Actually Hospitality and Guest Services is in our DNA and love to help people amd guide them about local culture activities and entertainments."
host_response_time,float64,0.0,min=nan | mean=nan | max=nan
host_response_rate,float64,0.0,min=nan | mean=nan | max=nan
host_acceptance_rate,float64,0.0,min=nan | mean=nan | max=nan
host_is_superhost,str,98.6,f | t
host_thumbnail_url,float64,0.0,min=nan | mean=nan | max=nan
host_picture_url,str,98.6,https://a0.muscache.com/im/pictures/user/d0ad9599-6fc0-4be6-865e-ffe99142517c.jpg?aki_policy=profile_x_medium | https://a0.muscache.com/im/pictures/user/User/original/f1289136-7830-481f-b8c2-57f0c9eb6483.jpeg?aki_policy=profile_x_medium | https://a0.muscache.com/im/pictures/user/User/original/ccc92c5b-f362-4d2a-b52a-f04ffc0f16a9.jpeg?aki_policy=profile_x_medium
host_neighbourhood,float64,0.0,min=nan | mean=nan | max=nan
host_listings_count,float64,98.6,min=0.00 | mean=280.48 | max=5539.00
host_total_listings_count,float64,0.0,min=nan | mean=nan | max=nan
host_verifications,float64,0.0,min=nan | mean=nan | max=nan
host_has_profile_pic,str,98.6,t | f
host_identity_verified,str,98.6,t | f
neighbourhood,float64,0.0,min=nan | mean=nan | max=nan
neighbourhood_cleansed,str,100.0,Bedford-Stuyvesant | Williamsburg | Midtown
neighbourhood_group_cleansed,str,100.0,Manhattan | Brooklyn | Queens
latitude,float64,100.0,min=40.50 | mean=40.73 | max=40.91
longitude,float64,100.0,min=-74.25 | mean=-73.95 | max=-73.71
property_type,str,100.0,Entire rental unit | Private room in rental unit | Private room in home
room_type,str,100.0,Entire home/apt | Private room | Hotel room
accommodates,int64,100.0,min=1.00 | mean=2.75 | max=16.00
bathrooms,float64,60.2,min=0.00 | mean=1.20 | max=15.50
bathrooms_text,str,99.7,1 bath | 1 shared bath | 1 private bath
bedrooms,float64,83.8,min=0.00 | mean=1.37 | max=16.00
beds,float64,59.9,min=0.00 | mean=1.62 | max=40.00
amenities,str,100.0,"[""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi"", ""Smoke alarm"", ""TV"", ""Washer""] | [""Hangers"", ""Carbon monoxide alarm"", ""Kitchen"", ""Dedicated workspace"", ""Wifi"", ""Smoke alarm"", ""Hot water"", ""Heating""] | [""Hangers"", ""Essentials"", ""Dryer \u2013 In building"", ""Pets allowed"", ""Refrigerator"", ""Cooking basics"", ""Bathtub"", ""Carbon monoxide alarm"", ""Kitchen"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""TV"", ""Lockbox"", ""Crib"", ""Long term stays allowed"", ""Elevator"", ""Coffee maker"", ""Washer \u2013\u00a0In building"", ""High chair"", ""Iron"", ""Gym"", ""Dishwasher"", ""Air conditioning"", ""Microwave"", ""Hot water"", ""Oven"", ""Heating"", ""Hair dryer"", ""Self check-in"", ""Private entrance"", ""Shampoo""]"
price,float64,0.0,min=nan | mean=nan | max=nan
minimum_nights,float64,100.0,min=0.00 | mean=28.38 | max=1124.00
maximum_nights,float64,100.0,min=1.00 | mean=1125663.40 | max=2147483647.00
minimum_minimum_nights,float64,100.0,min=0.00 | mean=28.38 | max=1124.00
maximum_minimum_nights,float64,100.0,min=1.00 | mean=39.08 | max=1124.00
minimum_maximum_nights,float64,100.0,min=1.00 | mean=237495.18 | max=2147483647.00
maximum_maximum_nights,float64,100.0,min=1.00 | mean=1125663.40 | max=2147483647.00
minimum_nights_avg_ntm,float64,100.0,min=1.00 | mean=29.38 | max=1124.00
maximum_nights_avg_ntm,float64,100.0,min=1.00 | mean=530928.79 | max=2147483647.00
calendar_updated,float64,0.0,min=nan | mean=nan | max=nan
has_availability,str,84.5,t | f
availability_30,int64,100.0,min=0.00 | mean=12.68 | max=30.00
availability_60,int64,100.0,min=0.00 | mean=27.39 | max=60.00
availability_90,int64,100.0,min=0.00 | mean=42.64 | max=90.00
availability_365,int64,100.0,min=0.00 | mean=167.56 | max=365.00
calendar_last_scraped,str,100.0,2026-01-15 | 2026-01-16
number_of_reviews,int64,100.0,min=0.00 | mean=27.36 | max=4095.00
number_of_reviews_ltm,int64,100.0,min=0.00 | mean=3.84 | max=1537.00
number_of_reviews_l30d,int64,100.0,min=0.00 | mean=0.28 | max=108.00
availability_eoy,int64,100.0,min=0.00 | mean=161.69 | max=351.00
number_of_reviews_ly,int64,100.0,min=0.00 | mean=3.87 | max=1557.00
estimated_occupancy_l365d,int64,100.0,min=0.00 | mean=45.54 | max=255.00
estimated_revenue_l365d,float64,0.0,min=nan | mean=nan | max=nan
first_review,str,68.8,2023-01-01 | 2019-01-01 | 2016-01-02
last_review,str,68.8,2026-01-01 | 2026-01-02 | 2026-01-03
review_scores_rating,float64,68.8,min=0.00 | mean=4.72 | max=5.00
review_scores_accuracy,float64,68.8,min=0.00 | mean=4.76 | max=5.00
review_scores_cleanliness,float64,68.8,min=0.00 | mean=4.65 | max=5.00
review_scores_checkin,float64,68.8,min=0.00 | mean=4.83 | max=5.00
review_scores_communication,float64,68.8,min=0.00 | mean=4.82 | max=5.00
review_scores_location,float64,68.8,min=0.00 | mean=4.74 | max=5.00
review_scores_value,float64,68.8,min=0.00 | mean=4.63 | max=5.00
license,str,13.5,Exempt | OSE-STRREG-0000437 | OSE-STRREG-0001957
instant_bookable,float64,0.0,min=nan | mean=nan | max=nan
calculated_host_listings_count,int64,100.0,min=1.00 | mean=68.95 | max=1197.00
calculated_host_listings_count_entire_homes,int64,100.0,min=0.00 | mean=51.68 | max=1197.00
calculated_host_listings_count_private_rooms,int64,100.0,min=0.00 | mean=16.10 | max=559.00
calculated_host_listings_count_shared_rooms,int64,100.0,min=0.00 | mean=0.16 | max=49.00
reviews_per_month,float64,68.8,min=0.01 | mean=0.79 | max=120.56
