id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_profile_id,host_profile_url,host_name,host_since,hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,price_quote_checkin_date,price_quote_checkout_date,price_quote_total_price,price_quote_price_per_night,price_quote_raw,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
9236348,https://www.airbnb.com/rooms/9236348,20260316030535,2026-03-17,previous scrape,Spacious two bedroom with backyard,"Beautiful spacious apartment in the heart of Bushwick, right off the Dekalb L. High ceilings, lots of light and living room space. Two large bedrooms on either side of the apartment and a big backyard.",,https://a0.muscache.com/pictures/ee0b2677-d0f7-42f6-942d-27778938caa7.jpg,48007438,https://www.airbnb.com/users/show/48007438,1.465725302394825e+18,https://www.airbnb.com/users/profile/1465725302394824977,Daniel,,10.0,4.0,10.0,4.0,"New York, NY","Brooklynite who loves exploring and taking advantage of great food, music and cultural offerings.",,,,f,,https://a0.muscache.com/im/pictures/user/73868511-7ef9-46f0-8d46-bd82ea9a1dba.jpg?aki_policy=profile_x_medium,,1.0,,,t,t,,Bushwick,Brooklyn,40.70137,-73.91501,Entire rental unit,Entire home/apt,4,,1.5 baths,2.0,,"[""Kitchen"", ""Air conditioning"", ""Heating"", ""TV"", ""Wifi"", ""Free parking on premises""]",,,,,,,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,,,0,0,0,0,2026-03-17,0,0,0,0,0,0,,,,,,,,,,,,,1,1,0,0,
9237142,https://www.airbnb.com/rooms/9237142,20260316030535,2026-03-17,previous scrape,"Charming, Clean 1BR in Brooklyn","Our charming and very clean 1BR apartment is located in Clinton Hill, Brooklyn, half a block from the subway (short ride to Manhattan) and walking distance to downtown Brooklyn. Fully furnished and equipped, A/C, and wifi.",,https://a0.muscache.com/pictures/f1b692b5-7445-425a-a609-f5f7b332b5b5.jpg,11013791,https://www.airbnb.com/users/show/11013791,1.4628549633076367e+18,https://www.airbnb.com/users/profile/1462854963307636673,Guy,,12.0,2.0,10.0,11.0,"New York, NY",,,,,f,,https://a0.muscache.com/im/pictures/user/63899689-cc1b-45f2-a86d-0b8d0452adf2.jpg?aki_policy=profile_x_medium,,2.0,,,t,t,,Bedford-Stuyvesant,Brooklyn,40.68906,-73.95947,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,"[""Elevator"", ""Kitchen"", ""Air conditioning"", ""Dryer"", ""Essentials"", ""Heating"", ""TV"", ""Washer"", ""Wifi""]",,,,,,,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,0,0,2026-03-17,3,0,0,0,0,0,,2016-06-16,2017-07-25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,1,1,0,0,0.03
9237600,https://www.airbnb.com/rooms/9237600,20260316030535,2026-03-17,previous scrape,Private Cozy studio NBPC/Tribeca,"Cozy, comfy conveniently located studio in Manhattan, North Battery Park/Tribeca.  All transportation - close to restaurants, grocery, best of Battery Park and Tribeca. Washer/Dryer/Dishwasher Central Heat and Air, quiet with light.  Great place!",,https://a0.muscache.com/pictures/9c95474f-57a9-4642-8fb3-6169714a7c9b.jpg,17051015,https://www.airbnb.com/users/show/17051015,1.4630010154276877e+18,https://www.airbnb.com/users/profile/1463001015427687613,Kerry,,11.0,8.0,10.0,4.0,"New York, NY",,,,,f,,https://a0.muscache.com/im/users/17051015/profile_pic/1403307892/original.jpg?aki_policy=profile_x_medium,,1.0,,,t,t,,Battery Park City,Manhattan,40.71503,-74.01636,Entire rental unit,Entire home/apt,2,,1 bath,,,"[""Shampoo"", ""Elevator"", ""Kitchen"", ""Air conditioning"", ""Dryer"", ""Hair dryer"", ""TV with standard cable"", ""Washer"", ""Heating"", ""Wifi"", ""Hangers"", ""Iron""]",,,,,,,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,,,0,0,0,0,2026-03-17,0,0,0,0,0,0,,,,,,,,,,,,,1,1,0,0,
9237857,https://www.airbnb.com/rooms/9237857,20260316030535,2026-03-17,previous scrape,Penthouse Suites Midtown Manhattan,"Manhattan Club is centrally located 2 blocks from central park, few blocks from Time square, Broadway shows and Rockefeller center. Separate elevator for penthouse suites and 2 rooftop decks on 27th floor with lounge style setting. Concierge, Valet Parking. Amenities include Gym, Business center, Lounge and Bar, Daily house keeping service. Walk to Thanksgiving parade.",,https://a0.muscache.com/pictures/f5e4759f-7694-42d7-a680-189f9add434d.jpg,17507097,https://www.airbnb.com/users/show/17507097,1.463011739291339e+18,https://www.airbnb.com/users/profile/1463011739291338977,Ravi,,11.0,8.0,11.0,8.0,"New York, United States",IT Professional,,,,f,,https://a0.muscache.com/im/users/17507097/profile_pic/1404241660/original.jpg?aki_policy=profile_x_medium,,1.0,,,t,t,,Midtown,Manhattan,40.76402,-73.98186,Entire rental unit,Entire home/apt,4,,2 baths,1.0,,"[""Shampoo"", ""Elevator"", ""Air conditioning"", ""Essentials"", ""Hair dryer"", ""TV with standard cable"", ""Heating"", ""Wifi"", ""Hangers"", ""Gym"", ""Smoke alarm"", ""Hot tub""]",,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,t,0,0,0,0,2026-03-17,8,0,0,0,0,0,,2015-12-28,2024-11-30,4.88,5.0,4.88,5.0,5.0,5.0,4.88,Exempt,,1,1,0,0,0.06
9238214,https://www.airbnb.com/rooms/9238214,20260316030535,2026-03-17,previous scrape,Sublet Cozy Spacious Private Room near Manhattan,"Fully Furnished (sublet) - Bed, Desk, Hangers, Drawers<br />3 BR apartment. Living Room, Bathroom + Kitchen. <br />Shared Bathroom w/ 2 other people & cooking facilities.<br />Extra: many books to read. <br /><br />Very close to Midtown Manhattan: <br />2 min walk from R, M Line Trains. <br />20 min subway from Grand Central/Times Square/Korea Town.<br />2-5 min walk from Supermarket.",,https://a0.muscache.com/pictures/d0dac9af-53d0-444c-ab5b-b9fb7d4d2e1f.jpg,48016303,https://www.airbnb.com/users/show/48016303,1.462708466163958e+18,https://www.airbnb.com/users/profile/1462708466163958043,Nelson,,10.0,4.0,10.0,4.0,"New York, NY",,,,,f,,https://a0.muscache.com/im/pictures/user/31c9b6a4-2c54-4e60-83d0-61ffbbbf2dde.jpg?aki_policy=profile_x_medium,,1.0,,,t,t,,Astoria,Queens,40.75579,-73.91767,Private room in rental unit,Private room,1,,1 shared bath,,,"[""Essentials"", ""TV"", ""Bed linens"", ""Wifi"", ""Iron"", ""Host greets you"", ""Microwave"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Shampoo"", ""Air conditioning"", ""First aid kit"", ""Pets allowed"", ""Hair dryer"", ""Hangers"", ""Refrigerator"", ""Cooking basics"", ""Kitchen"", ""Heating"", ""Hot water""]",,,,,,,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,0,0,2026-03-17,10,0,0,0,0,0,,2015-12-05,2020-09-05,4.7,4.78,4.9,4.78,4.9,4.67,4.89,,,1,0,1,0,0.08
9238861,https://www.airbnb.com/rooms/9238861,20260316030535,2026-03-17,previous scrape,One-bedroom in Morningside Heights,what,,https://a0.muscache.com/pictures/b19479f4-48d7-4ea5-8838-904d28df0a88.jpg,4396038,https://www.airbnb.com/users/show/4396038,1.4626563584419016e+18,https://www.airbnb.com/users/profile/1462656358441901668,Egor,,13.0,3.0,13.0,3.0,"New York, NY",PhD student at Columbia University,,,,f,,https://a0.muscache.com/im/users/4396038/profile_pic/1355410355/original.jpg?aki_policy=profile_x_medium,,1.0,,,t,t,,Morningside Heights,Manhattan,40.80838,-73.9597,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Shampoo"", ""Elevator"", ""Kitchen"", ""Dryer"", ""Essentials"", ""Heating"", ""Washer"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Hangers"", ""Wifi"", ""Smoke alarm"", ""Iron""]",,,,,,,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,0,0,2026-03-17,2,0,0,0,0,0,,2015-12-14,2018-03-02,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,1,1,0,0,0.02
9241147,https://www.airbnb.com/rooms/9241147,20260316030535,2026-03-17,previous scrape,Bushwick 2 bdrm near JMZ train stop,"Great natural light.  Big living room/kitchen.  Balcony.  2 bdrms, one master bedroom, other is guest room/office.  1 full bathroom.  Very close to  Myrtle Ave/Broadway stop on the JMZ line.   15 minutes to the city.  Very safe building.  If staying in December 2018, the living room will not have couch or TV FYI.",,https://a0.muscache.com/pictures/ee2602c8-57fe-4179-96f5-db73a54f3f98.jpg,39768761,https://www.airbnb.com/users/show/39768761,1.4655936945302477e+18,https://www.airbnb.com/users/profile/1465593694530247775,Latane,,10.0,7.0,10.0,4.0,"New York, NY","Hi,  I'm a father and a husband working in the music business. I grew up in Lafayette, LA and Houston, TX and have two great parents and two great sibilings who all live in Houston.  I grew up playing music in bands and now I work in live music as a booking agent.  I enjoy traveling the globe, both for work and for pleasure.  I am a fifth generation Texan with family in Houston, Austin, and Dallas.    Excited to have you explore our little getaway in the hill country.",,,,t,,https://a0.muscache.com/im/users/39768761/profile_pic/1438054461/original.jpg?aki_policy=profile_x_medium,,2.0,,,t,t,,Bushwick,Brooklyn,40.69728,-73.93441,Entire rental unit,Entire home/apt,4,,1 bath,2.0,,"[""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Essentials"", ""Heating"", ""Wifi""]",,,,,,,30.0,1125.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,0,0,2026-03-17,48,0,0,0,0,0,,2015-12-07,2018-12-25,4.88,4.96,4.75,4.96,4.88,4.7,4.83,,,1,1,0,0,0.38
6848,https://www.airbnb.com/rooms/6848,20260316030535,2026-03-16,city scrape,Only 2 stops to Manhattan studio,"Comfortable studio apartment with super comfortable king size bed and  full kitchen and bathroom located in FABULOUS Williamsburg, Brooklyn.",,https://a0.muscache.com/pictures/e4f031a7-f146-40fd-98fd-b399a940c505.jpg,15991,https://www.airbnb.com/users/show/15991,1.462506783043501e+18,https://www.airbnb.com/users/profile/1462506783043501110,Allen,,16.0,10.0,15.0,2.0,"New York, NY","We love to travel. When we travel we like to stay in a comfortable place that is clean, neat and sweet smelling, for a reasonable price. That's what we rent to you. We love city life but we also love outdoor adventures. We like keep up with all that's new and exciting around New York and we're happy to tell you where to find it. Want to hear the new young musicians that people are excited about or the promising new artists - we'll tell you about them. The best restaurants - ask us.
Want to take a break from the city we'll tell you about wilderness canoeing on the Delaware river - just an hour and a half's drive. We can tell you where to find the great salt water fishing with clean beautiful waters just an hour away from the city or how to take a one day trip by bus to ski in Vermont.


WHY WILLIAMSBURG?

Williamsburg is FABULOUS. It's fast growing and it's fast changing. It's hip. In the 1960's the new and exciting place where culture was blooming was Greenwich Village. In the 70's the SOHO neighborhood was where cheap industrial loft space were being turned into places where the adventurous could move to New York, live cheaply and make the new art, music, and culture. These days Williamsburg has that special chemistry of the New York that's constantly renewing itself.",,,,t,,https://a0.muscache.com/im/users/15991/profile_pic/1259104907/original.jpg?aki_policy=profile_x_medium,,1.0,,,t,t,,Williamsburg,Brooklyn,40.70935,-73.95342,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,1.0,"[""TV"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Extra pillows and blankets"", ""Refrigerator"", ""Fire extinguisher"", ""Essentials"", ""Stove"", ""Carbon monoxide alarm"", ""Iron"", ""Shampoo"", ""Wifi"", ""Washer"", ""Hair dryer"", ""Heating"", ""Bed linens"", ""Microwave"", ""Dishes and silverware"", ""Kitchen"", ""Coffee maker"", ""Oven"", ""Cooking basics"", ""Free street parking"", ""Dishwasher""]",$117.27,2026-12-20,2027-01-19,3518.0,117.27,"{""quote"": {""taxes"": null, ""currency"": ""USD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""3518"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""117.2666666666666666666666667"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""3517.64"", ""raw_price_line_items"": [{""amount"": ""3517.64"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$3,517.64""}, {""amount"": ""3517.64"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$3,517.64""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-12-20"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2027-01-19""}}",30.0,240.0,30.0,30.0,240.0,240.0,30.0,240.0,,t,5,13,13,114,2026-03-16,197,4,0,40,4,240,28145.0,2009-05-25,2025-11-17,4.6,4.6,4.85,4.85,4.8,4.69,4.59,,,1,1,0,0,0.96
6872,https://www.airbnb.com/rooms/6872,20260316030535,2026-03-16,city scrape,Uptown Sanctuary w/ Private Bath (Month to Month),"This charming distancing-friendly month-to-month home away from home located in Historic Harlem, Uptown Sanctuary is ideal for lovers of travel, work-life balance, art, soulful living,  culture, and kindness.<br /><br />Spacious bedroom available (if you require more space, please inquiry about the master bedroom with its own ensuite bathroom or renting the whole place).<br /><br />➨ Minimum 30-day stay only, thank you for understanding!<br />➨ Additional fees apply for events and must be approved in advance.",,https://a0.muscache.com/pictures/miso/Hosting-6872/original/50573585-928d-4de4-8c3d-da27a5a2b179.jpeg,16104,https://www.airbnb.com/users/show/16104,1.4625067848742226e+18,https://www.airbnb.com/users/profile/1462506784874222530,Kae,,16.0,10.0,15.0,2.0,"New York, NY","A former life in fashion and wellness has left me well traveled and a lover of all things work-life balance and zen living.  I have great living chemistry with independent, considerate professional females who don't work from home.",,,,f,,https://a0.muscache.com/im/pictures/user/d865acc2-3cba-4f03-bf38-c50819aad378.jpg?aki_policy=profile_x_medium,,2.0,,,t,t,,East Harlem,Manhattan,40.80107,-73.94255,Private room in condo,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Kitchen"", ""Fire extinguisher"", ""Paid parking garage off premises"", ""Hot water"", ""Heating"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Hangers"", ""Essentials"", ""Dryer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Free street parking"", ""Luggage dropoff allowed"", ""Host greets you"", ""Elevator"", ""Wifi"", ""Washer""]",$66.99,2026-03-23,2026-04-22,2009.76,66.99,"{""quote"": {""taxes"": null, ""currency"": null, ""date_match"": null, ""service_fee"": null, ""total_price"": ""2009.76"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": ""294.15"", ""price_per_night"": ""66.992"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""2009.76"", ""raw_price_line_items"": [{""amount"": ""2303.91"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$2,303.91""}, {""amount"": ""-294.15"", ""item_type"": ""discount_amount"", ""description"": ""Monthly stay discount"", ""price_string"": ""-$294.15""}, {""amount"": ""2009.76"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$2,009.76""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-03-23"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-04-22""}}",30.0,180.0,30.0,30.0,180.0,180.0,30.0,180.0,,t,23,53,83,83,2026-03-16,2,1,0,83,1,60,4019.0,2022-06-05,2025-10-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,2,0,2,0,0.04
6990,https://www.airbnb.com/rooms/6990,20260316030535,2026-03-16,city scrape,UES Beautiful Blue Room,Beautiful peaceful healthy home,,https://a0.muscache.com/pictures/45fb4ec7-6856-4e78-a8c4-56bb14a6c588.jpg,16800,https://www.airbnb.com/users/show/16800,1.4625068390763054e+18,https://www.airbnb.com/users/profile/1462506839076305525,Cynthia,,16.0,10.0,15.0,2.0,"New York, NY","Capturing the Steinbeck side of life in its Fillini moment.
Home is a special place, it is a live-in work of art... A great experience I hope all to enjoy...",,,,t,,https://a0.muscache.com/im/pictures/user/17c4d833-81c5-41a5-a212-c3f249ff1237.jpg?aki_policy=profile_x_medium,,1.0,,,t,t,,East Harlem,Manhattan,40.78778,-73.94759,Private room in rental unit,Private room,1,1.0,1 shared bath,2.0,2.0,"[""TV"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Extra pillows and blankets"", ""Refrigerator"", ""Fire extinguisher"", ""Clothing storage"", ""Stove"", ""Carbon monoxide alarm"", ""Paid parking off premises"", ""Iron"", ""Host greets you"", ""Wifi"", ""Room-darkening shades"", ""Hair dryer"", ""Heating"", ""Bed linens"", ""Kitchen"", ""Coffee maker"", ""Free street parking""]",$77.17,2026-07-15,2026-08-14,2315.0,77.17,"{""quote"": {""taxes"": null, ""currency"": ""USD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""2315"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": ""157.50"", ""price_per_night"": ""77.16666666666666666666666667"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""2314.68"", ""raw_price_line_items"": [{""amount"": ""2472.18"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$2,472.18""}, {""amount"": ""-157.50"", ""item_type"": ""discount_amount"", ""description"": ""Monthly stay discount"", ""price_string"": ""-$157.50""}, {""amount"": ""2314.68"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$2,314.68""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-07-15"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-08-14""}}",30.0,120.0,30.0,30.0,120.0,120.0,30.0,120.0,,t,0,0,0,244,2026-03-16,251,4,0,170,3,240,18521.0,2009-10-28,2026-01-11,4.88,4.83,4.95,4.96,4.94,4.85,4.84,,,1,0,1,0,1.26
